chunk,n_ok,var_inf,a1,c_a2a1,c_a3a2,rho_rep,p_rep,f_collapse,f_lowret,med_ndist,min_dist_sphere
r3200_c2400,100,3.999999999999999,8.284019383072362,0.17987303114877412,0.14964771869156163,0.4013849551149729,3.4908831102130874e-05,0.16,0.35,6.0,0.5310547468977304
r2400_c800,96,3.9999999956118897,5.443811257994637,0.3849499199198952,0.28570272095289734,0.03258974898093449,0.7525992336541979,0.03125,0.3333333333333333,6.0,0.5235091756639431
r2400_c1200,96,3.9999999915177025,3.301972313681144,0.45648574360942895,0.33001542291335884,0.1449073854271936,0.15894019142501603,0.0625,0.3958333333333333,6.0,0.5332140640176165
r2000_c2400,97,3.8786133710600716,4.804204664774688,0.5860073853178085,0.27454263451335575,-0.17810038528804556,0.0809276767840859,0.0,0.24742268041237114,6.0,0.7329089030034636
r3200_c800,96,3.732430501461531,20.177641154397065,0.08473620935260248,0.5838376429031734,-0.6270321963659548,8.210620185930557e-12,0.041666666666666664,0.3020833333333333,6.0,0.620525380910436
r1600_c2000,100,3.577543534920205,4.138686326876082,0.14785049396036315,0.35629230598498873,-0.08129061680538137,0.42138670673084155,0.07,0.33,6.0,0.5558359774542307
r2400_c2400,98,3.4599918736755306,8.433571356962299,0.22078237154426242,0.510514865505824,-0.2627431478683319,0.008955605855690387,0.01020408163265306,0.30612244897959184,6.0,0.7346945429636444
r3200_c2000,98,3.3595974869583616,2.800327316680078,0.5049317228383393,0.19032060160705605,0.47011456878909,1.0390177305769968e-06,0.17346938775510204,0.32653061224489793,6.0,0.5812410411362604
r2000_c3200,97,3.087726436151402,7.337212851990819,0.3172569828727784,0.40893356640551765,0.10336892488954343,0.3136608641981255,0.010309278350515464,0.28865979381443296,6.0,0.5352889501446685
r3200_c2800,97,2.6952995621246374,3.469886117316288,0.5871335731667963,0.115107321826031,0.4024655642854795,4.3763079554242765e-05,0.12371134020618557,0.36082474226804123,6.0,0.7477802060697945
r2400_c2000,100,2.4031549531913243,2.298092836236369,0.34364727483652263,0.3573741989880821,0.27773177317731773,0.005147385975719698,0.09,0.4,6.0,0.5646285443447054
r2400_c1600,100,2.320079453054745,1.7323775173609912,0.4240710820246916,0.19055611903702716,0.44494449444944495,3.5154919042070148e-06,0.02,0.27,6.0,0.6480830363717809
r2000_c3600,96,2.105328486532026,4.7290014434265695,0.36461267293195027,0.23595432526035406,-0.15742781760592517,0.1255632711840516,0.14583333333333334,0.2708333333333333,6.0,0.7196284523212696
r1600_c2400,100,1.9097864291151885,0.8597633034852238,0.3860582808197596,0.41624038559538007,-0.4685148514851485,8.837206000180039e-07,0.02,0.32,6.0,0.5633485502981216
r2800_c2800,100,1.6146593235117976,1.4955636686626657,0.5139983979694825,0.3915012720446838,0.05898025190670211,0.5599639688386157,0.03,0.37,6.0,0.5448005765237287
r2800_c2000,100,1.258663243788825,0.6365200442012908,0.5130220300576137,0.4225116384640921,0.0396039603960396,0.6956390978440974,0.07,0.39,6.0,0.6153923561672154
r2800_c400,100,1.245897128330434,0.5128527744086976,0.22914314509692893,0.3795972262793288,-0.2263546354635463,0.023539349750008688,0.18,0.33,6.0,0.8358522117010861
r2800_c1600,98,1.2443309453699547,5.128946759295701,0.23614038775794297,0.4993236036876716,-0.2254843830690664,0.02559025754441128,0.09183673469387756,0.37755102040816324,6.0,0.5967962479801708
r2800_c3200,100,1.2188511778040698,0.5168580946141424,0.18755457236195877,0.35649412697210336,0.01501350135013501,0.8821409086901478,0.03,0.3,6.0,0.8896989989653944
r2400_c4400,100,1.1949230792570016,0.5566908214511559,0.16837924132854296,0.5042570027286,0.20406363074485895,0.041703941413678586,0.09,0.32,6.0,0.831684829932485
r2800_c1200,97,1.1607314178173387,1.7865129592479894,0.13197032283137441,0.3778152206273235,0.43016252892909734,1.0949225573899625e-05,0.16494845360824742,0.35051546391752575,6.0,0.7012527660400507
r2000_c2800,100,1.1474176657382167,0.2136505893115844,0.24807050605396258,0.7223179130071798,-0.1289952865150916,0.20086665900042927,0.06,0.35,6.0,0.7542702194511054
r2800_c2400,100,1.0711024706804144,0.733886832996931,0.29059943666916127,0.669796885765648,0.0352057318075716,0.728036268451835,0.12,0.34,6.0,0.442550417071059
r2800_c800,100,1.017243382288042,0.3734992066721352,0.2855904894250352,0.39004438292265714,-0.12117611761176117,0.2297676568184384,0.06,0.35,6.0,0.7222758244721255
r2400_c3200,99,0.9245474367057841,0.3080995723656635,0.3125434662234018,0.42819006107516167,-0.21918367346938772,0.029277388509516132,0.04040404040404041,0.3939393939393939,6.0,0.6019269314948251
r2400_c2800,100,0.8772748152530443,0.21235173750661362,0.3002661565677472,0.7040442225024606,-0.255981134000204,0.010151976116409627,0.01,0.38,6.0,0.6368863095181343
r2800_c3600,100,0.8572144469335712,0.33551069477777784,0.16778102223154776,0.9274152828372828,-0.49239419378454113,1.955873911189337e-07,0.0,0.34,6.0,0.572902804429053
r2400_c4000,100,0.8068135126758067,0.20413721781538433,0.17442952311476814,0.8397726283857196,-0.30739873987398736,0.0018643472172217962,0.01,0.35,6.0,0.8102527073270388
r2400_c3600,100,0.7047005631519171,0.24270773980024116,0.25852630139113986,0.5868233948910588,-0.23216321632163214,0.02010957274734875,0.03,0.38,6.0,0.6018508153327822
