chunk,row,col,k,n_boot,n_ok,a2a1,a3a2,a1,a2a1_med,a3a2_med,a2a1_lo,a2a1_hi,a3a2_lo,a3a2_hi,a2a1_sd,a3a2_sd,a1_sd,a2a1_bias,a3a2_bias,cov_2121,cov_3232,cov_2132,corr,f_near_sphere
r1600_c2000,1600,2000,3,100,100,0.14785049396036315,0.35629230598498873,4.138686326876082,0.2894779041744192,0.3542132577810314,0.038766212418406505,0.5594835748851985,0.20190292216426425,0.5236065874135066,0.27042529084094713,0.15223687142271394,14.376101444238039,0.14162741021405606,-0.0020790482039573233,0.07312983792641085,0.02317606502057594,-0.003991299744905972,-0.09694986051274015,0.0
r1600_c2400,1600,2400,3,100,100,0.3860582808197596,0.41624038559538007,0.8597633034852238,0.3180491520570465,0.42260648965734604,0.21076275978160966,0.48018298089053785,0.32016770520520216,0.597353832955546,0.15174660002876708,0.14789360617247052,4.098948139788578,-0.06800912876271314,0.0063661040619659715,0.023027030620290607,0.021872518746697815,-0.010844479135169121,-0.48321491357957574,0.0
r2000_c2400,2000,2400,3,100,97,0.5860073853178085,0.27454263451335575,4.804204664774688,0.5479117059853418,0.2707488295066571,0.28526841102313016,0.7000047384771656,0.22248883959790072,0.32616015280478733,0.18855095313743644,0.05384934596632029,6.288423226737592,-0.038095679332466714,-0.0037938050066986806,0.035551461929035744,0.002899752061000454,-0.0018448332350253231,-0.18169708039701973,0.0
r2000_c2800,2000,2800,3,100,100,0.24807050605396258,0.7223179130071798,0.2136505893115844,0.2283494437355675,0.6880340656280877,0.18430375911387634,0.27603010945411216,0.4611166050446994,0.8356002212937483,0.08591261357022212,0.24310205900118867,135.12197934479877,-0.01972106231839507,-0.03428384737909218,0.007380977170466315,0.059098611090617446,0.006805230508281997,0.3258346543425561,0.0
r2000_c3200,2000,3200,3,100,97,0.3172569828727784,0.40893356640551765,7.337212851990819,0.3396257845800057,0.37763377202182175,0.11676092775976019,0.5442934049630067,0.2874637875194682,0.5436499335785376,0.20851500142912355,0.16499198505787177,12.753637250103305,0.02236880170722727,-0.0312997943836959,0.043478505820987404,0.027222355133336984,0.0015491560732304168,0.04502928187433072,0.0
r2000_c3600,2000,3600,3,100,96,0.36461267293195027,0.23595432526035406,4.7290014434265695,0.20077260829206028,0.22379055645644952,0.023542828273636563,0.4776273232855444,0.13428360798086167,0.47493627921673787,0.21940872992111987,0.16806602148329847,62.860442566706546,-0.16384006463988998,-0.012163768803904546,0.04814019076559893,0.028246187577224538,-0.008412481489361965,-0.2281341489018669,0.0
r2400_c1200,2400,1200,3,100,96,0.45648574360942895,0.33001542291335884,3.301972313681144,0.42953819304491025,0.3137829813515404,0.07276343572557377,0.6995668529944965,0.23950376717747154,0.3975910919919368,0.27537178995994877,0.1046835963562095,87.50557095452741,-0.026947550564518696,-0.01623244156181841,0.07582962270574616,0.010958655346069799,0.00400746778289245,0.13901829502661153,0.0
r2400_c1600,2400,1600,3,100,100,0.4240710820246916,0.19055611903702716,1.7323775173609912,0.40456554006887063,0.1986258794816546,0.1402200007853823,0.6843275638833338,0.15534940534322553,0.2714596986940084,0.24511016341316902,0.05498921328140608,15.133203930605786,-0.019505541955820993,0.008069760444627455,0.06007899220843041,0.0030238135773079673,0.0055102034954332985,0.408816873023716,0.0
r2400_c2000,2400,2000,3,100,100,0.34364727483652263,0.3573741989880821,2.298092836236369,0.20318714294773882,0.373806627231254,0.03315824415561078,0.6209289506126312,0.3036032520461116,0.4619885744833641,0.2775843521107735,0.10837996538516645,19.05642611885976,-0.1404601318887838,0.016432428243171926,0.07705307253675786,0.01174621689688988,0.006580383147679057,0.21872941575754143,0.0
r2400_c2400,2400,2400,3,100,98,0.22078237154426242,0.510514865505824,8.433571356962299,0.22030241529455902,0.3973447660436184,0.07100454480693717,0.4878029694604836,0.275595508519427,0.5216653165161458,0.190373068729857,0.12233877896774284,9.519684660130155,-0.00047995624970340045,-0.11317009946220563,0.03624190529762285,0.014966776839318236,-0.008890679736607867,-0.38173792984922233,0.0
r2400_c2800,2400,2800,3,100,100,0.3002661565677472,0.7040442225024606,0.21235173750661362,0.30518992800150624,0.59163624148602,0.25642958525991744,0.43827128124450965,0.4343234298517573,0.7241449246685985,0.1152630066243668,0.12997555138196165,2.575894596451851,0.00492377143375905,-0.11240798101644056,0.01328556069608882,0.01689364395704495,-0.006623150684320827,-0.4420923739820124,0.0
r2400_c3200,2400,3200,3,100,99,0.3125434662234018,0.42819006107516167,0.3080995723656635,0.32499813047654613,0.417715950538956,0.23892135431658645,0.452347607114662,0.23920532535980615,0.6232593302887182,0.1245413047571525,0.18267827559321248,5.583979937676406,0.012454664253144343,-0.010474110536205672,0.015510536590613935,0.03337135237370971,-0.0025081823746958697,-0.11024497339471266,0.0
r2400_c3600,2400,3600,3,100,100,0.25852630139113986,0.5868233948910588,0.24270773980024116,0.19542995837035312,0.5247384111390136,0.12075091675868417,0.3766727545101407,0.3319105621573573,0.7414913023872901,0.1707259631135737,0.2313914524402632,34.540757144033655,-0.06309634302078673,-0.062084983752045186,0.029147354481057326,0.0535420042624146,-0.006334188305345484,-0.1603408149387786,0.0
r2400_c4000,2400,4000,3,100,100,0.17442952311476814,0.8397726283857196,0.20413721781538433,0.1757624429990647,0.6863731891774356,0.14610988154498158,0.21189408606629728,0.4608219809479608,0.8493590198281687,0.06608110186642029,0.21995204085910636,3.731449698788704,0.0013329198842965684,-0.15339943920828403,0.004366712023880215,0.04837890027808597,-0.0052976870700229455,-0.36448614913184435,0.0
r2400_c4400,2400,4400,3,100,100,0.16837924132854296,0.5042570027286,0.5566908214511559,0.12566898059799433,0.42627032404352105,0.033281670126494176,0.21031676617802356,0.2649029905696305,0.6797475573375145,0.08304663323861221,0.2107099582871334,30.077388983682997,-0.04271026073054862,-0.07798667868507891,0.006896743292268569,0.044398686521365506,0.0032858866426633123,0.18777833557445428,0.0
r2400_c800,2400,800,3,100,96,0.3849499199198952,0.28570272095289734,5.443811257994637,0.3900837534405188,0.3139412049632656,0.11455881473758804,0.6846442768542,0.22963168360636968,0.3873439525734513,0.23890749604671283,0.08288096178504686,22.503403953911178,0.005133833520623632,0.02823848401036827,0.057076791667310084,0.006869253826414397,0.0009870791340440322,0.049850258271364925,0.0
r2800_c1200,2800,1200,3,100,97,0.13197032283137441,0.3778152206273235,1.7865129592479894,0.12208095204731051,0.420332020767536,0.01877118146275207,0.2671486659057479,0.28568090071042873,0.4969872118776013,0.12433523686693777,0.10914030742755317,14.483411918954548,-0.009889370784063906,0.04251680014021253,0.015459251126757523,0.011911606705380811,0.00531560942822857,0.391718122460371,0.0
r2800_c1600,2800,1600,3,100,98,0.23614038775794297,0.4993236036876716,5.128946759295701,0.19925510128217067,0.4919517406458713,0.03311402015889241,0.38537414782999857,0.408490761772825,0.6054098861910608,0.1695576644228711,0.11592556742865752,15.646084812539964,-0.0368852864757723,-0.007371863041800264,0.028749801564538977,0.013438737183656221,-0.00446825232669343,-0.2273217727015829,0.0
r2800_c2000,2800,2000,3,100,100,0.5130220300576137,0.4225116384640921,0.6365200442012908,0.23104318328633738,0.3786580965450742,0.04519309548518741,0.4947614423977898,0.2654843031103891,0.491645194598325,0.21332442436346058,0.14602048461112307,77.03154460132274,-0.2819788467712763,-0.04385354191901791,0.04550731003000183,0.02132198192606724,0.0018139342758944662,0.0582327338533016,0.0
r2800_c2400,2800,2400,3,100,100,0.29059943666916127,0.669796885765648,0.733886832996931,0.2585553382355201,0.5337149124844953,0.02330018271878913,0.4851537919875624,0.3937196799584609,0.7186970883713338,0.1995706753785563,0.171930696521975,9.245807009046018,-0.032044098433641144,-0.13608197328115268,0.0398284544710531,0.02956016440653146,0.002541363235687872,0.07406560817888946,0.0
r2800_c2800,2800,2800,3,100,100,0.5139983979694825,0.3915012720446838,1.4955636686626657,0.4048033234124101,0.33596790651911757,0.16879402526763224,0.6511165414217125,0.25206052565645976,0.4411218850629901,0.21862114050133982,0.10465300635863596,5.350692457215844,-0.10919507455707245,-0.05553336552556626,0.047795203074106604,0.010952251739900701,0.0008037814461949978,0.03513129125993597,0.0
r2800_c3200,2800,3200,3,100,100,0.18755457236195877,0.35649412697210336,0.5168580946141424,0.18216351201077516,0.3276393807554036,0.10036056473649237,0.27379816442274096,0.273234047829361,0.37722845460497023,0.085745005429442,0.06708498211173552,12.825919005112187,-0.005391060351183613,-0.028854746216699756,0.007352205956095037,0.004500394824931877,0.0007177246412036244,0.12477389038374609,0.0
r2800_c3600,2800,3600,3,100,100,0.16778102223154776,0.9274152828372828,0.33551069477777784,0.19319550459368118,0.7420736150949472,0.14265702185773121,0.2771613429818061,0.5154491386716641,0.8724563486781675,0.11966711483016115,0.17866280707962934,1.5863693505217618,0.025414482362133423,-0.18534166774233563,0.014320218371774981,0.031920398633572857,-0.010028499497327316,-0.46905847102416187,0.0
r2800_c400,2800,400,3,100,100,0.22914314509692893,0.3795972262793288,0.5128527744086976,0.20062552839857192,0.40819895068549483,0.015930725961650797,0.28169417896070736,0.30124937501916504,0.5038555129157267,0.10604114610480615,0.1419386437879798,10.17933869348059,-0.028517616698357007,0.02860172440616604,0.011244724667220849,0.020146578600371022,-0.0005446629198111878,-0.036187013765836606,0.0
