chunk,c21,c32,n_keep,all_lo_21,all_hi_21,k_lo_21,k_hi_21,k_med_21,all_lo_32,all_hi_32,k_lo_32,k_hi_32,k_med_32
r1600_c2000,0.14785049396036315,0.35629230598498873,20,0.038766212418406505,0.5594835748851985,0.033389839257207836,0.4935499082169044,0.13074966322862563,0.20190292216426425,0.5236065874135066,0.2850678508995721,0.5041568895838004,0.36657293487845355
r1600_c2400,0.3860582808197596,0.41624038559538007,22,0.21076275978160966,0.48018298089053785,0.30261239936055506,0.5535703705919215,0.34955935044423203,0.32016770520520216,0.597353832955546,0.32062504182089624,0.5475402789423762,0.35241468281223
r2000_c2400,0.5860073853178085,0.27454263451335575,29,0.26965424338173444,0.699338716337766,0.48045451525161165,0.7180229962236593,0.6061816974792363,0.2225041318758174,0.3250605672884266,0.2244816946842159,0.31148073149866534,0.274542712581898
r2000_c2800,0.24807050605396258,0.7223179130071798,23,0.18430375911387634,0.27603010945411216,0.2057145333581875,0.26482630171309635,0.24368536205289598,0.4611166050446994,0.8356002212937483,0.5589201612211034,0.8537895720157117,0.7147302538846065
r2000_c3200,0.3172569828727784,0.40893356640551765,22,0.09046976189278041,0.5440903361946048,0.1606482868674689,0.4017823243628463,0.2854903574022669,0.2861211068887985,0.5459160045599769,0.32653363804047403,0.49985224165795605,0.38992966558210773
r2000_c3600,0.36461267293195027,0.23595432526035406,23,0.021407497185942294,0.4603047794623053,0.09264168116633151,0.5286896417610732,0.3531792087385388,0.13833802140569626,0.4774796396389775,0.17410164643778586,0.4844640042133772,0.30393409756089107
r2400_c1200,0.45648574360942895,0.33001542291335884,16,0.05572112051583656,0.7022237341631589,0.06831599757947761,0.5892357500183941,0.35779214321198144,0.23914063381019382,0.3970882567784656,0.30508526441274775,0.40284654961073507,0.32642213458113567
r2400_c1600,0.4240710820246916,0.19055611903702716,32,0.1402200007853823,0.6843275638833338,0.29198615670381006,0.6829031257832425,0.4960162470382261,0.15534940534322553,0.2714596986940084,0.17015510739753995,0.24630573128599698,0.21166639275415486
r2400_c2000,0.34364727483652263,0.3573741989880821,25,0.03315824415561078,0.6209289506126312,0.029033570238212823,0.47004437328791393,0.2000666974965117,0.3036032520461116,0.4619885744833641,0.31400930406053273,0.4337277582056705,0.3641212587662466
r2400_c2400,0.22078237154426242,0.510514865505824,23,0.06781688240977898,0.47968348078369705,0.12828665684545837,0.4442062866003884,0.2250103634366475,0.2763674496963668,0.5171377720389322,0.37281732935095296,0.5216653165161457,0.4585946377472788
r2400_c2800,0.3002661565677472,0.7040442225024606,21,0.25642958525991744,0.43827128124450965,0.2434707211992162,0.3434486516988221,0.28823314830443897,0.4343234298517573,0.7241449246685985,0.5621999687146901,0.7180895830729054,0.6329432405171663
r2400_c3200,0.3125434662234018,0.42819006107516167,27,0.23783362708241643,0.4521463607926554,0.24417473299891504,0.42943999782020326,0.29826053412067843,0.24002845950856888,0.6205353940080244,0.3318482837284005,0.7030521359475579,0.51061897855261
r2400_c3600,0.25852630139113986,0.5868233948910588,28,0.12075091675868417,0.3766727545101407,0.16347693730088442,0.3097424098872524,0.19111141501940515,0.3319105621573573,0.7414913023872901,0.3742861619430008,0.827381471785496,0.5844537360196118
r2400_c4000,0.17442952311476814,0.8397726283857196,27,0.14610988154498158,0.21189408606629728,0.15026363182952898,0.19599417440747077,0.17435489879429458,0.4608219809479608,0.8493590198281687,0.6050259098531697,0.9332143533277237,0.7905048995977692
r2400_c4400,0.16837924132854296,0.5042570027286,26,0.033281670126494176,0.21031676617802356,0.1127029671506729,0.20270692133022558,0.13728645212434842,0.2649029905696305,0.6797475573375145,0.3356517422205439,0.6765505167592346,0.45153771059108294
r2400_c800,0.3849499199198952,0.28570272095289734,29,0.07609953059820257,0.6749951198890731,0.21906060884755205,0.5342620880130949,0.3381956709611778,0.2285303589780293,0.38614771620433314,0.25312586470120074,0.37968011036166144,0.32970742639632994
r2800_c1200,0.13197032283137441,0.3778152206273235,22,0.017615684925839835,0.26016846590867093,0.06040710564602635,0.23039368835571658,0.15133446329593575,0.28254504160365684,0.4961946415149291,0.3259660144360674,0.5077409465174935,0.42780364839020313
r2800_c1600,0.23614038775794297,0.4993236036876716,21,0.029654581594794636,0.38129125226575994,0.18198275613585163,0.28509172643291275,0.24667185259886196,0.41180031335221545,0.6121979054581284,0.4085405405065094,0.5543695979463098,0.4774194191052261
r2800_c2000,0.5130220300576137,0.4225116384640921,20,0.04519309548518741,0.4947614423977898,0.24209379939430067,0.5075168636066917,0.3565586313484499,0.2654843031103891,0.491645194598325,0.3710596908373169,0.5604113095892284,0.4118858294488124
r2800_c2400,0.29059943666916127,0.669796885765648,26,0.02330018271878913,0.4851537919875624,0.16359583516163756,0.39388939763748676,0.24983238957728443,0.3937196799584609,0.7186970883713338,0.5270000251505286,0.7943703639835115,0.6163856012619605
r2800_c2800,0.5139983979694825,0.3915012720446838,16,0.16879402526763224,0.6511165414217125,0.2609843880296583,0.5896721653277729,0.4464016649223609,0.25206052565645976,0.4411218850629901,0.2889343953648507,0.42165077147734115,0.37278091013649195
r2800_c3200,0.18755457236195877,0.35649412697210336,22,0.10036056473649237,0.27379816442274096,0.12754858172150335,0.24763513569020487,0.21168319807561103,0.273234047829361,0.37722845460497023,0.3118278694581528,0.3715218112135572,0.3451831256227845
r2800_c3600,0.16778102223154776,0.9274152828372828,28,0.14265702185773121,0.2771613429818061,0.14968699460127055,0.22285988924169686,0.19132876480949718,0.5154491386716641,0.8724563486781675,0.707241678282811,0.9134810410034656,0.8174740684410212
r2800_c400,0.22914314509692893,0.3795972262793288,28,0.015930725961650797,0.28169417896070736,0.1533968192239961,0.2895471486784067,0.22573073474130884,0.30124937501916504,0.5038555129157267,0.33718666584769585,0.4980566072541466,0.3983925526596455
r2800_c800,0.2855904894250352,0.39004438292265714,24,0.13498879852269424,0.4447572017478318,0.20642235949183552,0.3969566587565749,0.30461306910965724,0.23646228009076906,0.5080758540874271,0.331103951847426,0.5314076377141574,0.38142046638796023
r3200_c2000,0.5049317228383393,0.19032060160705605,19,0.019744901784244172,0.745273650529163,0.2520700493499775,0.8127491089936615,0.43298991804602127,0.14679907751309726,0.43603880789309457,0.2176568251393747,0.38164784574885047,0.2691705008544377
r3200_c2400,0.17987303114877412,0.14964771869156163,22,0.0211081010825794,0.6586923592352456,0.00915371371521807,0.5368218590096435,0.1137235256105344,0.1257322503101382,0.40353367320834055,0.14318367456507897,0.3775056778161983,0.21861631377818552
r3200_c2800,0.5871335731667963,0.115107321826031,29,0.04223095742339778,0.5713854718445718,0.12754742703246066,0.6159799087897407,0.3599387757760916,0.11422058812361283,0.3303020646695078,0.11272702161238377,0.2854018874341244,0.14480413761151384
r3200_c800,0.08473620935260248,0.5838376429031734,28,0.02332025204723889,0.24726799147208803,0.03014835966381524,0.20329023228042387,0.07099842294491229,0.35355747359303313,0.7958628690878832,0.41464886248580846,0.728888058961487,0.5515841938377819
