chunk,row,col,k,n_boot,n_ok,a2a1,a3a2,a1,a2a1_med,a3a2_med,a2a1_lo,a2a1_hi,a3a2_lo,a3a2_hi,a2a1_sd,a3a2_sd,a1_sd,a2a1_bias,a3a2_bias,cov_2121,cov_3232,cov_2132,corr,f_near_sphere
r1600_c2000,1600,2000,4,100,100,0.08466794925209215,0.45609497240834057,4.763015861204286,0.06440474878403768,0.39823316453869984,0.024444577890418935,0.3226550503781779,0.2969672579792096,0.5772023921265133,0.15661791566042432,0.14808079282184533,10.84681937611023,-0.020263200468054465,-0.057861807869640736,0.02452917150581579,0.021927921202746288,-0.00046204679429867547,-0.019922589686707563,0.0
r2000_c2400,2000,2400,4,100,100,0.5746404415800279,0.21213449261709966,6.180470120630054,0.5457494295044186,0.2091157991021906,0.39850934320766546,0.6766795310176454,0.18373300185890068,0.24368658960579181,0.15473228549349444,0.03820326399042231,2.8005965604511416,-0.02889101207560929,-0.003018693514909049,0.023942080174040262,0.0014594893795218979,-0.0018404876607343926,-0.3113518855973596,0.0
r2000_c2800,2000,2800,4,100,100,0.19860608450933362,0.7516363156992684,0.18463612829787193,0.19731720620319837,0.6710714394838251,0.15859469778837956,0.2407193353538335,0.543286883131295,0.7967679015892555,0.04829946662744011,0.1607378449212121,0.7655307658430297,-0.0012888783061352493,-0.08056487621544328,0.002332838476495202,0.025836654789915633,0.0026960491912256905,0.3472700549850219,0.0
r2000_c3200,2000,3200,4,100,100,0.286247982491416,0.350879582442001,1.8277050198662423,0.20470790249997722,0.33741519118541163,0.04681039467644793,0.38817952070479084,0.2119705055032526,0.46308404050891927,0.15864780279062748,0.15404130216186812,98.69911002955683,-0.08154007999143875,-0.01346439125658938,0.02516912533029383,0.02372872277172397,0.0017980023440477332,0.07357309242793379,0.0
r2000_c3600,2000,3600,4,100,99,0.12692701806152218,0.23785034654749793,1.4218167741749046,0.06360628205737796,0.22635233298054094,0.004086597727750966,0.3507020171769256,0.10890860394074055,0.42212279931031393,0.17714126530167565,0.19287538509311705,63.9513091715155,-0.06332073600414422,-0.011498013566956983,0.03137902787267863,0.0372009141748182,-0.008437856772208055,-0.2469651088180118,0.0
r2000_c4000,2000,4000,4,100,100,0.0078085945846455606,0.03001860858994204,11.321923824829296,0.11608820343480081,0.21101121239374732,0.0016583598316905412,0.3713609896280039,2.545214429606324e-12,0.3656790014654767,0.17466539369138948,0.15933292633143498,714.4066316003313,0.10827960885015525,0.18099260380380527,0.030507999753368084,0.025386981413338488,0.006678082614763918,0.23996029534128324,0.0
r2400_c1200,2400,1200,4,100,97,0.2436034710537658,0.5195344027564631,5.578210188430229,0.26523190249873374,0.43685981280841557,0.10875092333949289,0.4598480978597091,0.2367639775180492,0.5417615683385141,0.179113578394547,0.1571520555002371,20.787568317406564,0.021628431444967927,-0.08267458994804755,0.032081673965299526,0.0246967685479496,0.004001924249454303,0.14217403446026516,0.0
r2400_c1600,2400,1600,4,100,100,0.40375317905189084,0.1897961916805388,1.4906466488476693,0.3822128793642442,0.2108748028310707,0.020304621756881188,0.6549017469987535,0.16448318587554728,0.291921659176105,0.26387653635693176,0.07375880795193149,19.28031883990954,-0.021540299687646647,0.021078611150531917,0.06963082643973112,0.005440361750489912,0.009358261332705167,0.4808177642234969,0.0
r2400_c2000,2400,2000,4,100,100,0.024946507533831038,0.3194229351457247,22.98075087012334,0.08947235046206947,0.3358644704889949,0.021670276949190624,0.5113729456920464,0.2440741551343475,0.44600541553238815,0.2321970753699488,0.14579234280650977,12.048218645697128,0.06452584292823843,0.016441535343270253,0.05391548181035769,0.021255407221010866,0.0069184584842076164,0.20437034543881255,0.0
r2400_c2400,2400,2400,4,100,100,0.28155562722714356,0.5917372259039263,1.8064892028380715,0.271090922994104,0.47606941556973015,0.08982610768329344,0.47707599684112756,0.28459984833204166,0.5891408537057825,0.18170706207824375,0.13586996155425468,9.74834553704107,-0.010464704233039579,-0.11566781033419615,0.03301745640910672,0.018460646452754647,-0.003454619492073752,-0.13992810737477354,0.0
