chunk,a2a1,a3a2,a1,sd21,sd32,sd_l1,n_keep
r1600_c2000,0.14785049396036315,0.35629230598498873,4.138686326876082,0.21528597624199178,0.12301047244348623,0.4648589264100404,20
r1600_c2400,0.3860582808197596,0.41624038559538007,0.8597633034852238,0.14159578868283074,0.10980783959936062,0.3717287926320927,22
r2000_c2400,0.5860073853178085,0.27454263451335575,4.804204664774688,0.13983425716653375,0.04197892433354997,0.28866227787629534,29
r2000_c2800,0.24807050605396258,0.7223179130071798,0.2136505893115844,0.03152293983822581,0.14648814325547208,0.04377452555704068,23
r2000_c3200,0.3172569828727784,0.40893356640551765,7.337212851990819,0.12920806001663687,0.14396448898577824,0.587204502162372,22
r2000_c3600,0.36461267293195027,0.23595432526035406,4.7290014434265695,0.21965809034368589,0.1619780487333583,0.5172727585999206,23
r2400_c1200,0.45648574360942895,0.33001542291335884,3.301972313681144,0.2633080099474371,0.061311032756416285,0.6856966709525579,16
r2400_c1600,0.4240710820246916,0.19055611903702716,1.7323775173609912,0.20267349991372413,0.045283839138123644,0.48985850404960407,32
r2400_c2000,0.34364727483652263,0.3573741989880821,2.298092836236369,0.2150388550572588,0.0849882309102629,0.6387896542240282,25
r2400_c2400,0.22078237154426242,0.510514865505824,8.433571356962299,0.15475054978460132,0.0769940295919412,0.3864493714844719,23
r2400_c2800,0.3002661565677472,0.7040442225024606,0.21235173750661362,0.07002916820133784,0.0948245622039449,0.1350012033793367,21
r2400_c3200,0.3125434662234018,0.42819006107516167,0.3080995723656635,0.08893298924894065,0.16915561633367396,0.2286433359836081,27
r2400_c3600,0.25852630139113986,0.5868233948910588,0.24270773980024116,0.10796503927627348,0.19572096322380306,0.3166311467030837,28
r2400_c4000,0.17442952311476814,0.8397726283857196,0.20413721781538433,0.023730565720817793,0.1519770247886024,0.12645310546319113,27
r2400_c4400,0.16837924132854296,0.5042570027286,0.5566908214511559,0.0716611087479748,0.17702837054958642,0.44775593223429844,26
r2400_c800,0.3849499199198952,0.28570272095289734,5.443811257994637,0.1935087990881525,0.05863129412716326,0.514108053171199,29
r2800_c1200,0.13197032283137441,0.3778152206273235,1.7865129592479894,0.08940273836429856,0.09213713913483325,0.6051231755715735,22
r2800_c1600,0.23614038775794297,0.4993236036876716,5.128946759295701,0.08149436003773994,0.0666831742310261,0.616737788608025,21
r2800_c2000,0.5130220300576137,0.4225116384640921,0.6365200442012908,0.15676354293953634,0.09742407888968004,0.5335526142496039,20
r2800_c2400,0.29059943666916127,0.669796885765648,0.733886832996931,0.10478236882771676,0.14464370046211017,0.37710473099182,26
r2800_c2800,0.5139983979694825,0.3915012720446838,1.4955636686626657,0.16556727009664582,0.07339657706205636,0.44778418637697226,16
r2800_c3200,0.18755457236195877,0.35649412697210336,0.5168580946141424,0.06344938980988657,0.03575124040427848,0.20985360179822837,22
r2800_c3600,0.16778102223154776,0.9274152828372828,0.33551069477777784,0.0683651636105051,0.1313113907513638,0.10694236805224054,28
r2800_c400,0.22914314509692893,0.3795972262793288,0.5128527744086976,0.06932210291240856,0.10322590312673725,0.35870756709852997,28
r2800_c800,0.2855904894250352,0.39004438292265714,0.3734992066721352,0.11619244623941206,0.11092907194819149,0.32082156148235785,24
r3200_c2000,0.5049317228383393,0.19032060160705605,2.800327316680078,0.2845570275300389,0.12513593453172128,0.6699140522116782,19
r3200_c2400,0.17987303114877412,0.14964771869156163,8.284019383072362,0.2613104568273289,0.11518082026550949,0.8771486364823071,22
r3200_c2800,0.5871335731667963,0.115107321826031,3.469886117316288,0.2469602997986916,0.09695388358085431,0.6911913890880281,29
r3200_c800,0.08473620935260248,0.5838376429031734,20.177641154397065,0.09927454397162534,0.14014471946653603,0.19708139139985653,28
