chunk,a2a1,a3a2,a1,bs_sd21,bs_sd32,cd_sd21,cd_sd32,se_a2a1,se_a3a2,var_inf
r1600_c2000,0.14785049396036315,0.35629230598498873,4.138686326876082,0.27042529084094713,0.15223687142271394,0.21528597624199178,0.12301047244348623,0.4651041157797877,0.2482722724999239,3.577543537297484
r1600_c2400,0.3860582808197596,0.41624038559538007,0.8597633034852238,0.15174660002876708,0.14789360617247052,0.14159578868283074,0.10980783959936062,0.1461023497852491,0.0957899776763244,1.9097864248626328
r2000_c2400,0.5860073853178085,0.27454263451335575,4.804204664774688,0.20281668183734702,0.05335546355690143,0.13983425716653375,0.04197892433354997,0.1674651073033041,0.0893554742261376,3.878593925196658
r2000_c2800,0.24807050605396258,0.7223179130071798,0.2136505893115844,0.08591261357022212,0.24310205900118867,0.03152293983822581,0.14648814325547208,0.0438090855443446,0.2131825748959351,1.147417665723354
r2000_c3200,0.3172569828727784,0.40893356640551765,7.337212851990819,0.21247239838392123,0.16354762009351728,0.12920806001663687,0.14396448898577824,0.0619759888792028,0.0506371100269054,3.0875408282414933
r2000_c3600,0.36461267293195027,0.23595432526035406,4.7290014434265695,0.2196186588932284,0.16631934850358307,0.21965809034368589,0.1619780487333583,0.4076760463658529,0.0872175530415868,2.1053292614942083
r2400_c1200,0.45648574360942895,0.33001542291335884,3.301972313681144,0.28132601293532206,0.10650994792932023,0.2633080099474371,0.061311032756416285,0.1121516670072627,0.0760361369807661,3.999999991522885
r2400_c1600,0.4240710820246916,0.19055611903702716,1.7323775173609912,0.24511016341316902,0.05498921328140608,0.20267349991372413,0.045283839138123644,0.1588229900053906,0.039561436468869,2.320079451198578
r2400_c2000,0.34364727483652263,0.3573741989880821,2.298092836236369,0.2775843521107735,0.10837996538516645,0.2150388550572588,0.0849882309102629,0.5390460388009302,0.1373591022603689,2.4031549535994294
r2400_c2400,0.22078237154426242,0.510514865505824,8.433571356962299,0.19138473023871316,0.12113944443035157,0.15475054978460132,0.0769940295919412,0.1870124726167182,0.111606865559784,3.4599370612272815
r2400_c2800,0.3002661565677472,0.7040442225024606,0.21235173750661362,0.1152630066243668,0.12997555138196165,0.07002916820133784,0.0948245622039449,0.0911215323791549,0.1453706137234554,0.8772748151342497
r2400_c3200,0.3125434662234018,0.42819006107516167,0.3080995723656635,0.12787750816305596,0.1818461561919896,0.08893298924894065,0.16915561633367396,0.0722935907439024,0.1976351981471646,0.9245474367800864
r2400_c3600,0.25852630139113986,0.5868233948910588,0.24270773980024116,0.1707259631135737,0.2313914524402632,0.10796503927627348,0.19572096322380306,0.1591285546983333,0.3317778277698987,0.7047005632227669
r2400_c4000,0.17442952311476814,0.8397726283857196,0.20413721781538433,0.06608110186642029,0.21995204085910636,0.023730565720817793,0.1519770247886024,0.0184212966264185,0.166376166115458,0.8068135127099226
r2400_c4400,0.16837924132854296,0.5042570027286,0.5566908214511559,0.08304663323861221,0.2107099582871334,0.0716611087479748,0.17702837054958642,0.077221175706105,0.4964561621302078,1.1949230797015646
r2400_c800,0.3849499199198952,0.28570272095289734,5.443811257994637,0.2445381373418664,0.08249442450188336,0.1935087990881525,0.05863129412716326,0.0974304300612779,0.0779626587432452,3.9999999958074417
r2800_c1200,0.13197032283137441,0.3778152206273235,1.7865129592479894,0.12420741898655838,0.11986585626790563,0.08940273836429856,0.09213713913483325,0.1717327692951112,0.0880417953852796,1.160731422030792
r2800_c1600,0.23614038775794297,0.4993236036876716,5.128946759295701,0.1702265470324683,0.11993902530908786,0.08149436003773994,0.0666831742310261,0.0523628622996549,0.0793646654522242,1.2443307537103525
r2800_c2000,0.5130220300576137,0.4225116384640921,0.6365200442012908,0.21332442436346058,0.14602048461112307,0.15676354293953634,0.09742407888968004,0.2984793001520815,0.1321281512313248,1.2586632507209117
r2800_c2400,0.29059943666916127,0.669796885765648,0.733886832996931,0.1995706753785563,0.171930696521975,0.10478236882771676,0.14464370046211017,0.1097682798416136,0.0936339905975344,1.071102466226907
r2800_c2800,0.5139983979694825,0.3915012720446838,1.4955636686626657,0.21862114050133982,0.10465300635863596,0.16556727009664582,0.07339657706205636,0.1420891776087341,0.0803522411988519,1.6146592962162605
r2800_c3200,0.18755457236195877,0.35649412697210336,0.5168580946141424,0.085745005429442,0.06708498211173552,0.06344938980988657,0.03575124040427848,0.0518656062648479,0.0214973893533781,1.2188511779583524
r2800_c3600,0.16778102223154776,0.9274152828372828,0.33551069477777784,0.11966711483016115,0.17866280707962934,0.0683651636105051,0.1313113907513638,0.0708098541520799,0.1181808469396462,0.8572144468671662
r2800_c400,0.22914314509692893,0.3795972262793288,0.5128527744086976,0.10604114610480615,0.1419386437879798,0.06932210291240856,0.10322590312673725,0.0097738833643999,0.1108099250524032,1.245897128492915
r2800_c800,0.2855904894250352,0.39004438292265714,0.3734992066721352,0.19014650939202526,0.1395882614344103,0.11619244623941206,0.11092907194819149,0.162471919318729,0.1016460155886917,1.0172433823467486
r3200_c2000,0.5049317228383393,0.19032060160705605,2.800327316680078,0.30383279753438286,0.12747894292866566,0.2845570275300389,0.12513593453172128,0.3623481728082535,0.1043297882155749,3.359597485745171
r3200_c2400,0.17987303114877412,0.14964771869156163,8.284019383072362,0.2772149827421337,0.15202595130721686,0.2613104568273289,0.11518082026550949,0.3707372766879391,0.1721683049902759,3.999999999999999
r3200_c2800,0.5871335731667963,0.115107321826031,3.469886117316288,0.23998618167581334,0.1130057844653252,0.2469602997986916,0.09695388358085431,0.254249281168944,0.1440168217573254,2.6952995701536597
r3200_c800,0.08473620935260248,0.5838376429031734,20.177641154397065,0.13016063879397718,0.2037360407803756,0.09927454397162534,0.14014471946653603,0.1828877996243827,0.2011064520318933,3.732457882919358
