chunk,ptp_powerlaw,ptp_weibull,snr,row,col,rad,excess
r1600_c2000,0.056805912415189536,0.056806219037147804,5.79905,1600,2000,991.2818542803283,-3.0662195826813843e-07
r1600_c2400,0.013234212223726088,0.01323509980221993,4.19895,1600,2400,925.0638696335016,-8.875784938411346e-07
r2000_c2400,0.04780367023238327,0.016902058139372567,4.02545,2000,2400,525.7687876564391,0.030901612093010705
r2000_c2800,0.10273693567417692,0.024366183782927306,4.81564,2000,2800,685.2271640482328,0.07837075189124962
r2000_c3200,0.023600866513991695,0.03242706672363407,4.98423,2000,3200,991.2818542803282,-0.008826200209642372
r2000_c3600,0.07514668541653062,0.06772957036567744,4.7212,2000,3600,1347.4951439249448,0.007417115050853185
r2400_c1200,0.029917902560359977,0.018405367898541025,5.15417,2400,1200,1165.2519591996186,0.011512534661818952
r2400_c1600,0.035587061662466786,0.03558741221831216,5.06145,2400,1600,768.7103334120153,-3.5055584537285744e-07
r2400_c2000,0.015006578553870525,0.014893029426748305,5.18143,2400,2000,379.4983859916582,0.00011354912712221998
r2400_c2400,0.021553590135164474,0.007332704612829116,4.51207,2400,2400,130.85286869662258,0.014220885522335358
r2400_c2800,0.04024201510431608,0.02775838756345464,4.66889,2400,2800,458.5040038233009,0.012483627540861443
r2400_c3200,0.06733247264687049,0.01652851676445216,5.19339,2400,3200,850.487724660303,0.05080395588241833
r2400_c3600,0.0661013021862519,0.03405325932643863,4.5426,2400,3600,1247.5707667598344,0.032048042859813275
r2400_c4000,0.11779642743739277,0.08198104798793793,4.05736,2400,4000,1646.0669082238376,0.03581537944945484
r2400_c4400,0.05073567432267173,0.041609743873640526,4.62391,2400,4400,2045.1502914518153,0.009125930449031205
r2400_c800,0.0814552251051989,0.06314068669247366,4.76024,2400,800,1563.5564205178807,0.018314538412725234
r2800_c1200,0.09544480658753957,0.021699790346399933,5.54549,2800,1200,1191.0087252371259,0.07374501624113963
r2800_c1600,0.07948223804337953,0.023659069486090645,5.36335,2800,1600,807.2206834979054,0.05582316855728889
r2800_c2000,0.06327592425881215,0.068315863749219,6.46064,2800,2000,452.44743356846146,-0.005039939490406847
r2800_c2400,0.026575647961281243,0.011483500253045092,6.95587,2800,2400,278.94825401595426,0.01509214770823615
r2800_c2800,0.015927277475223933,0.018802729185108308,5.97031,2800,2800,520.4955107341573,-0.0028754517098843746
r2800_c3200,0.0771745639457166,0.012942331473057858,4.5613,2800,3200,885.448488038843,0.06423223247265875
r2800_c3600,0.04446593332384034,0.004699203074538021,4.09829,2800,3600,1271.6613044541912,0.03976673024930232
r2800_c400,0.05347014480579498,0.018453362575531734,4.05766,2800,400,1977.9521953371975,0.03501678223026324
r2800_c800,0.019355911364075357,0.03215287272984023,5.51708,2800,800,1582.8450130430022,-0.012796961365764872
r3200_c2000,0.0975231188532455,0.09752317983636255,5.24356,3200,2000,765.1132826680641,-6.0983117056157e-08
r3200_c2400,0.114743370637026,0.11471152081092945,6.55299,3200,2400,677.1275977177146,3.1849826096552736e-05
r3200_c2800,0.11101539906740272,0.11101499720348368,4.68058,3200,2800,807.220683497905,4.0186391904450947e-07
r3200_c800,0.06694995578515327,0.09022827753548958,4.33559,3200,800,1698.8490193326527,-0.02327832175033631
