chunk,row,col,central_ok,converged,fit_stride,a1,a2a1,a3a2,alpha,beta,var_inf,rms,se_a2a1,se_a3a2,se_a1,n_ok,wall_s,alpha_bad,ratio_bad,degen
r1200_c1200,1200,1200,True,True,2,3.863726894524846,0.46621385511489827,0.5353600625914494,0.22987829283778596,9.99999999999999,0.920103040973555,1.9675268075649992,0.20108514578392844,0.37241624563440073,1.7814777372002981,4,41.8665931224823,False,False,False
r1200_c1600,1200,1600,True,True,2,4.823840833581817,0.7560965308502016,0.30894856671969406,0.3443336498182669,9.999999999999998,1.893352770016552,1.14585318239528,0.07555495863334084,0.051000927680299686,0.3392144860193849,4,73.28086709976196,False,False,False
r1200_c2000,1200,2000,True,True,2,4.6501463193406805,0.5576396917111484,0.3862941619593297,0.36388245445980916,9.999999999999998,1.9341870502550873,1.400027648079651,0.22751909305480927,0.04777715607446264,2.4028293127251468,4,108.40810799598694,False,False,False
r1200_c2400,1200,2400,True,True,2,4.014989906207767,0.45738918063337913,0.9259503047062126,0.18074351539884964,9.999996075270596,0.7893347417313025,1.0428880104925684,0.14966520684566775,0.3843619804737424,7.023029235783414,4,61.02135682106018,False,False,False
r1200_c2800,1200,2800,True,True,2,1.1029341648985627,0.3388450698497075,0.3255981796286102,0.2480338842058912,3.296910110184948,0.6865341273730489,0.8111682132948128,0.2910061096948747,0.04343958043708507,1.137032086626789,4,66.15109586715698,False,False,False
r1200_c3200,1200,3200,True,True,2,3.3365368469127583,0.3341836922085174,0.638346700042765,0.12492718730061425,1.000000000531025,0.5826098122409262,1.141889141683066,0.03304964077217728,0.16501429722395602,2.4465450532086,4,58.67265725135803,False,False,False
r1200_c3600,1200,3600,True,True,2,0.6700451337817753,0.6002349420552866,0.38152811147348575,0.15093973529992347,1.703143137862189,0.4871211288959819,0.5635874502404769,0.1973572128701633,0.2006065649737576,1.61751307470948,4,57.721803188323975,False,False,False
r1200_c4000,1200,4000,True,True,2,0.6138830385002044,0.5941587344377263,0.588133354043148,0.1807361867578961,9.999999999999998,0.4883736153281613,0.7183749411060515,0.2116090824923591,0.24423815903674997,1.678512658859386,4,63.57053589820862,False,False,False
r1200_c4400,1200,4400,True,True,2,1.0330117445197602,0.35708347385631445,0.28334872734536504,0.12779513094506265,9.999999999999913,0.4586122534335178,0.6241611979367442,0.1495642427341622,0.21788034402752915,0.9073644471384095,4,55.517082929611206,False,False,False
r1200_c4800,1200,4800,True,True,2,4.414024849202082,0.45334313558275596,0.3783040102888309,0.1414556488571522,9.999642563903745,0.6726815974418761,1.6848680989876381,0.3417697357901122,0.07983391933060771,37.636246284346356,4,73.31147503852844,False,False,False
r1200_c800,1200,800,True,True,2,55.96515163322767,0.21660835588439606,0.048674306815752084,0.07637502290309632,9.999999999999998,0.5175294040304854,1.6652512785479854,0.4187563728175234,0.026967687004324743,109.79184315333522,4,227.44312405586243,False,False,False
r1600_c1200,1600,1200,True,True,2,4.833670128369733,0.41305803951336134,0.5482272660460483,0.13082616233143382,9.999999852761839,0.4920424012229689,1.1429409704460307,0.3406887421952414,0.32157688906582665,0.81091105559177,4,45.031155824661255,False,False,False
r1600_c1600,1600,1600,True,True,2,0.926768598782382,0.31709031130101833,0.5755678056138286,0.36471291261707517,9.082903548569162,1.0067435057376544,1.2734963665719843,0.15019378572386985,0.22721743222981972,1.5634906516782472,4,60.20063900947571,False,False,False
r1600_c2000,1600,2000,True,True,2,4.138686703431971,0.1478504809035796,0.3562923059108281,0.692783933381799,9.999999999999998,3.577543537297484,1.4047354237162004,0.4651041157797877,0.2482722724999239,10.079534710649902,4,69.17288899421692,False,False,False
r1600_c2400,1600,2400,True,True,2,0.8597633194105114,0.386058278377758,0.4162403859351864,0.5308791706344655,1.304812094755221,1.9097864248626328,0.9511702681464657,0.14610234978524916,0.0957899776763244,0.7472680868535625,4,46.43193006515503,False,False,False
r1600_c2800,1600,2800,True,True,2,3.308859563378753,0.3758204692361357,0.5519784304780477,0.30916687406265947,1.0000000000000047,1.3914169484272705,0.7715734616046781,0.10165142165890607,0.24200350082029073,4.674192059632247,4,50.8081169128418,False,False,False
r1600_c3200,1600,3200,True,True,2,0.4224259551387291,0.8422224084499632,0.5274681179239038,0.12004933931693271,9.999999999999673,0.4335429199880425,0.7169097074678679,0.15850526045727972,0.19409165146305704,1.2087732603895809,4,63.22837209701538,False,False,False
r1600_c3600,1600,3600,True,True,2,3.935161567449255,0.5372835843635133,0.5864339605175954,0.20867519435702334,9.999999498814544,0.8460689448940492,0.8520790768593096,0.050004804476351,0.09961349633715992,3.5782005384311493,4,61.93270206451416,False,False,False
