chunk,row,col,a1,a2a1,a3a2,alpha,beta,s2_noise,var_inf,rms,se_a2a1,n_ok,floor_frac,b_a2a1,b_se_a2a1,b_alpha,b_a1,b_var_inf,clean
r1600_c2000,1600,2000,5.778521607837769,0.0899779504382947,0.3666347233622921,0.940811052904787,9.999999999999394,0.2847430989351004,3.260738176704359,1.287748866202463,0.0691398161257739,4,0.0873247355366911,0.30393577752664075,0.09080212120549147,0.690658564689708,6.411215873565556,3.5660124924604646,True
r1600_c2400,1600,2400,0.6658145014998924,0.3868876904411209,0.4174338339070726,0.6567520132508925,1.00000000002711,0.0926001265585981,1.8448337803824983,0.9526777903987792,0.2362233926966579,4,0.0501942925933407,0.3896380365974513,0.17984511872251172,0.5137560509566753,1.09335622621663,1.942930741026793,True
r2000_c2400,2000,2400,4.351938261380298,0.6200385342516738,0.2742895157705788,0.4586186662360715,9.999999999999998,0.1209349359686737,3.888163930120216,1.543582290538679,0.2365711294203632,4,0.0311033531873062,0.5235345494467151,0.13057087312233243,0.40028290530468474,5.088888980760675,3.729080967949838,True
r2000_c2800,2000,2800,0.2074274504901685,0.2483219023595305,0.7220041671048889,0.8860500251954868,2.8949916984573587,0.0169383778448383,1.1305227255707946,1.3471239739538716,0.0524883256404954,4,0.0149827840358416,0.23712539075474218,0.03174960459343913,0.8251001408031251,0.2347992341245757,1.1372511975276989,True
r2000_c3200,2000,3200,6.953385663001554,0.3184189151097019,0.4104646502473711,0.5009988509456599,9.999999999999998,0.0225632496113249,3.050850468283499,1.9616552996367476,0.2087300351015737,4,0.0073957245187502,0.4964967243229261,0.41049494804304176,0.5212791526735907,3.6776496701102745,2.6517752377802255,True
r2000_c3600,2000,3600,4.515525680246849,0.3666034229447179,0.2369350772921729,0.4737325259071899,9.999999999999998,0.0074709595210782,2.0697098064772916,2.145457298214191,0.2772226648334742,4,0.0036096652282833,0.39428732256591104,0.20260627991779231,0.5110585687229594,8.854050164276462,2.212535957622179,True
r2400_c1200,2400,1200,2.966150894558842,0.4446153838423627,0.3465589805968441,0.7384482900234474,9.999999999822675,0.2270021659648506,3.999999999972339,1.593576182132888,0.3183470455663543,4,0.0567505414916051,0.7128163078666031,0.34414410799313366,0.5786883597780181,2.3577939966624415,3.999999396966979,True
r2400_c1600,2400,1600,1.7079692973677962,0.4274179029518485,0.1915613607945726,0.5877169453142582,1.6215597752033075,2.167609512793402e-06,2.320190769165173,1.2334199827065986,0.1510309515258034,4,9.342376245955538e-07,0.5837485800107938,0.39699745963089716,0.5946732809372097,1.2656375022529198,2.338842237833779,True
r2400_c2000,2400,2000,2.2627363828461826,0.3463381572595087,0.3589547523191906,0.4983459002687743,9.999999913479368,1.0000000047354636e-08,2.4016561027145302,1.215709954758341,0.0716627937048502,4,4.163793490688318e-09,0.4042618576476471,0.020042958815985414,0.5292275593596885,7.87905533626089,2.3517132077352376,True
r2400_c2400,2400,2400,8.387156119612568,0.2236294406699951,0.5113892488233138,0.4358140367438976,9.999999999999998,1.0000000000000018e-08,3.4854874170020147,1.5995947687719247,0.1558115434516364,4,2.869039191253588e-09,0.3123754785153752,0.24445156483568634,0.4519427107656421,5.499403044801098,2.989096663545531,True
r2400_c2800,2400,2800,0.2086828510094776,0.3000356251173088,0.7047244615092311,0.7200294668369595,1.0,1.0000000000000018e-08,0.8761127503804506,1.8230756230500271,0.1118455690039497,4,1.1414056005528437e-08,0.2930227494409489,0.10016743509948813,0.7050541215697391,0.2324318140215194,0.8813052337682433,True
r2400_c3200,2400,3200,0.3030645096885733,0.3135788025021853,0.4324354526060311,0.8281436472009021,1.0000000000000926,1.0000012556159576e-08,0.9242795429804748,1.6252351031229355,0.105332255390772,4,1.0819251201766373e-08,0.31888669892091426,0.09946026382756248,0.8161058999879733,0.3148768362936645,0.9255357160138449,True
r2400_c3600,2400,3600,0.2354176682835214,0.2600637859368885,0.5968511405469377,0.7137957169570579,1.0,1.0000000000000018e-08,0.7041090321782904,1.8395486853222365,0.4679514970402161,4,1.4202345862633214e-08,0.2806757796695562,0.37212134243523765,0.6787274276051507,0.29088185812642275,0.6992455771662432,True
r2400_c4000,2400,4000,0.1810637995455263,0.1780743341898286,0.8004747945745926,1.0160218786534607,1.0,0.0507078458308343,0.7530317931660605,1.7741001907101672,0.0676622809430402,4,0.0673382535651481,0.18469057118529159,0.0736885724145935,0.7058570940120481,0.2895355571413877,0.8014970917048774,True
r2400_c4400,2400,4400,0.8255711566406494,0.1612310455289515,0.5163485278398324,0.5952329698013032,4.211096884701447,2.428833922268606e-08,1.1509513389797557,2.3158002120756396,0.1751002815457945,4,2.1102837626668136e-08,0.11068752137551284,0.03865907841713019,0.6507933702843561,2.0233246576462056,1.1478022941039239,True
r2400_c800,2400,800,4.221669492385456,0.3043152338031857,0.3142837950676198,1.1690838212491013,9.999999999999998,0.4541483881712665,3.999999993573221,1.886901174182685,0.1349962055293368,4,0.1135370972252361,0.7480965076640964,0.23041294122594905,0.5777092667536499,3.3041781989626555,3.989528151249102,True
r2800_c1200,2800,1200,1.5843972669699158,0.1351604037756847,0.3800072064059568,0.6713695070080284,1.0000000017849178,1.0000000004532571e-08,1.1671713062524514,2.1067193656933583,0.2209232939034359,4,8.567722622174911e-09,0.12090586964804767,0.031907654931853054,0.6569374582615328,10.969651748421828,1.1420267554154706,True
r2800_c1600,2800,1600,3.8038645608581025,0.2423635232085605,0.5033350064314771,0.4238457005530851,1.0,1.0000000000000018e-08,1.154467055802842,2.2446725954961413,0.141347720700462,4,8.662005511318637e-09,0.3360088335653131,0.42678898465393317,0.48950010410678385,1.2593754821684908,0.9096256374329593,True
r2800_c2000,2800,2000,0.5977542293397932,0.514506315527065,0.4257894369172624,0.5899121186919117,1.0000000000000009,1.0000000000000018e-08,1.245844153615401,2.2841183212367295,8.77314481081928,4,8.026686139659066e-09,0.4674933858345841,1.0436117190015928,0.5824115791901591,5.025009772115027,1.8581400825365735,True
r2800_c2400,2800,2400,0.6945546688365647,0.2929180252856574,0.6734000431310221,0.6722596349576112,1.0,1.0000000000000018e-08,1.061539915672845,1.6352927521301834,0.1751822940442182,4,9.420276950831033e-09,0.3771041090444688,0.2252313394773972,0.7136371625535313,0.5403148548857358,1.0367306523228945,True
r2800_c2800,2800,2800,1.3943004690941876,0.5171269288994508,0.3926061629647612,0.5867693557365966,1.0,1.0000000000000018e-08,1.5837250473423328,1.5279148122391173,1.7830843648740795,4,6.3142273444378084e-09,0.45205578441077154,0.7208128880975064,0.6344264072175299,3.419418289758236,1.8327665122381325,True
r2800_c3200,2800,3200,0.4935108396383161,0.1905647002836199,0.3610369254108103,0.6978107063581029,1.0000000000000075,1.0000000132198734e-08,1.2175051757495725,1.230340438363984,0.0376645887399043,4,8.213517553255661e-09,0.2203362391338924,0.03880749064295296,0.6728891313848073,0.47915139560982445,1.2160766657228104,True
r2800_c3600,2800,3600,0.3291320530445029,0.1682551873664739,0.9282163135806356,0.7360651384928946,1.2833976812209436,1.0000115562436114e-08,0.8572047327854896,1.1842341441408448,0.0459546634747487,4,1.166595934432222e-08,0.18985527455666668,0.031863945148232015,0.712936701613438,0.34827075465409957,0.8476005380485974,True
r2800_c400,2800,400,0.413761800593814,0.2363480170635765,0.3859093988784654,0.9002448580038482,2.3426772996398335,0.0954587641268298,1.1500820872529685,2.2165320636251873,0.1570900689336533,4,0.0830016963005119,0.2118833758228666,0.08489940412580138,0.6338255610688378,0.6377621151113441,1.2491256097155057,True
r2800_c800,2800,800,0.366811396434807,0.2865786827544838,0.3925112216640101,0.8283730768276104,1.0000000000000562,1.00007126164311e-08,1.0165439100974023,2.066828839168006,0.294007995161095,4,9.83795438356702e-09,0.35013394210479437,0.22853435148631998,0.7134622590804475,0.4720028866697418,1.0064045197558844,True
r3200_c2000,3200,2000,1.697634112234785,0.4401150668661633,0.2209218289900351,1.2989058200948018,2.0390911827639058,0.2710104556613241,2.99328036123528,1.6277619346044228,0.1748824959569826,4,0.0905396163924592,0.49309449279621154,0.04523260246708882,0.7379098246327138,2.837387922579892,3.2846917925111336,True
r3200_c2400,3200,2400,25.28393690368963,0.0542143025362989,0.1449002541876951,1.1920005677331336,9.999999999999998,0.2821502372969467,3.999999999999999,1.9335633301356725,0.0151908049278892,4,0.0705375593242367,0.24468271910480094,0.021461840692104682,0.8301363951310019,19.384069469451873,3.999999999993478,True
r3200_c2800,3200,2800,2.628193494091026,0.4502845281426712,0.1176811436749168,1.2747053385763911,2.086095949172544,0.3277142814880517,2.331882128529216,0.9594904709844834,0.3651254251504218,4,0.1405363836699372,0.30461910200192466,0.09967719720149251,0.6544151505759405,9.276424967022832,2.689129405522937,True
r3200_c800,3200,800,24.69567967216733,0.0333964578860429,0.6071665553885656,0.7679047097153955,9.999999999999998,0.3395511623924348,2.7877864968459845,2.0749699475442136,0.032624470798722,4,0.121799557741094,0.30720328871495384,0.13262900064462402,0.4705966640058912,5.230243437724854,3.356825324319451,True
