r_ly,S2_3d,N_3d,S2_inplane,N_inplane
0.009273640552539477,0.1648298194310991,1019170802.0,0.1648298194310991,1019170802.0
0.01246151377099155,0.21027855799866013,1558340734.0,0.21027855799866013,1558340734.0
0.016745238785655526,0.2692912036454303,3021810410.0,0.2692912036454303,3021810410.0
0.0225015216563301,0.35110925221310846,6074222181.0,0.3416676568575858,5326202986.0
0.03023656355883203,0.43114732005078976,12587177887.0,0.41973723773730054,8829025944.0
0.04063057555887974,0.5144395196179922,23903005050.0,0.5031953013359596,16550259959.0
0.05459759562404466,0.6131715305857246,50736591383.0,0.5905824690241906,27744003785.0
0.07336586811592018,0.7007150543621095,96183901157.0,0.6769332554520282,48175670559.0
0.0985858542465216,0.7810030273472709,175978005667.0,0.7552238534128153,80059350433.0
0.13247537181949284,0.830312549442628,325030440971.0,0.8166634200302784,130061844702.0
0.17801462768510812,0.8615262348610117,591340927318.0,0.8575036522816708,202813379875.0
0.23920829384835754,0.8996694570092326,946662150978.0,0.8874786817399296,295671882729.0
0.3214376739144172,0.9329378125193358,1226846505896.0,0.9207154234684869,385942683730.0
0.43193392900085115,0.9663622194962235,1293947395589.0,0.9575183409434143,407925115189.0
