chunk,snr,band,r_lo,r_hi,r_mid,a1,a2,a3,alpha,beta,var_inf
r1600_c2000,5.79905,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.5686192082215183,0.1800343244768381,0.10888748378089257,0.6090253756138299,9.999999999999998,1.7246807990691635
r1600_c2000,5.79905,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.596634980987679,0.4644699738208506,0.23122600772904547,0.6335175365531941,9.999999999999998,3.0315608662292814
r1600_c2000,5.79905,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.2562753754565334,0.6511958360230983,0.2706140024853457,0.7037382895385854,9.999999999999998,3.9999999999409876
r1600_c2000,5.79905,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,3.2815190837690826,0.5587981357651527,0.19444942594855208,0.7406014706857332,9.999999999999998,3.4370954521184367
r1600_c2000,5.79905,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,3.412432931213623,0.5830923649935182,0.19255823181956136,0.7880146826715256,9.999999999734063,3.550588937676962
r1600_c2400,4.19895,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.3332603370479313,0.1546570086136815,0.10947194198752189,0.604109732107976,9.999999999999998,1.5962458849799606
r1600_c2400,4.19895,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.7932958106850386,0.3418487207952304,0.2089106386218515,0.5652188810747623,9.999999999999998,2.2549133319932464
r1600_c2400,4.19895,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.8689889279259052,0.27329494553362865,0.1373339605574865,0.4806963705426564,9.999999999951356,1.6796828571858173
r1600_c2400,4.19895,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.4115129952491028,0.4626360300010136,0.15669951031438045,0.39815929860672944,4.11088050395393,1.7652554637764628
r1600_c2400,4.19895,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.312193303430131,0.4778951808070031,0.12030102284142613,0.44203451820063444,1.0,1.9286955496839775
r2000_c2400,4.02545,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.34491579106385506,0.09123420223040647,0.06183709958043108,0.6367144567136326,3.717151279200164,1.4673214552331146
r2000_c2400,4.02545,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.4443870967418202,0.08907086401838753,0.05799845742880037,0.6247254683139539,2.3052410953301936,1.4324655100872346
r2000_c2400,4.02545,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,1.9403092133682445,0.2810810116489027,0.1582464782212724,0.5017126193352858,1.0000000000005873,2.3079692549504722
r2000_c2400,4.02545,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,5.307351645027221,2.768741926737528,0.7161778487033751,0.37239479396608227,9.999999999999998,3.5256739490970155
r2000_c2400,4.02545,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,3.2846253604593842,2.9818337800452515,0.652847754253746,0.4564835760732483,9.999999999999998,3.999193635881671
r2000_c2800,4.81564,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.15716778201772486,0.04371289874046985,0.03203736663072947,0.8750465079741642,6.696332462524395,0.9870303496485603
r2000_c2800,4.81564,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.24753587036594848,0.05317782098863927,0.037817981841009325,0.8823090818620862,1.9354351021331109,1.2536017686855574
r2000_c2800,4.81564,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.23482876914719694,0.05390771211475243,0.03729982333477213,0.8337753230587854,2.1518337236492124,1.2021574009330793
r2000_c2800,4.81564,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,0.24436353467820207,0.06363648457855604,0.05258248780678256,0.6355153707313868,6.506700714197264,1.144044362034077
r2000_c2800,4.81564,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.7259992295893287,0.32478555850568164,0.0028981882389924767,0.1061898089491311,9.999999999993692,1.1391106738806238
r2000_c3200,4.98423,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.17620134817767255,0.04536114302438372,0.03733749277634511,0.6419060800140374,5.396738616370837,0.6324131760309951
r2000_c3200,4.98423,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.131887788144929,0.21648567477848182,0.21324350794635602,0.5995826105933671,9.999999999999998,1.6667765142572444
r2000_c3200,4.98423,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.5684925015131351,0.10224389154442136,0.08833404089839944,0.573483315555003,9.999999997982208,0.9943865097111163
r2000_c3200,4.98423,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,6.978334815566962,2.505861713688924,0.8487001135315203,0.4389481166236277,9.999999999999998,2.6684652487775318
r2000_c3200,4.98423,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,4.426674209304967,2.5321743708038036,0.8800566076885195,0.5882433399038622,9.999999999999998,3.492344301150908
r2000_c3600,4.7212,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,103.634340784295,0.03484425383707732,0.0,0.5720482558722094,9.999999999998359,0.5140832466529757
r2000_c3600,4.7212,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.35270143805878174,0.11484861630726846,0.04168353514474941,0.6656766729446503,9.999999999863272,0.8605957794650789
r2000_c3600,4.7212,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.8322356263283442,0.1621218661986502,0.058830656301856396,0.6348611245902087,1.8057020426800363,1.0868918292320184
r2000_c3600,4.7212,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,8.570655115562396,3.7094622076369883,0.687236065555281,0.4287366545870559,9.999999999999998,2.4801233853239046
r2000_c3600,4.7212,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,2.4051465145838793,1.7500333842072948,0.33590136147009175,0.5359599396650147,9.999999999999998,1.998700186408205
r2400_c1200,5.15417,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.4347050081479519,0.1735512666991189,0.08848271009750604,0.6541936383303536,9.999999999999998,1.6562606964785938
r2400_c1200,5.15417,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.1620260771683075,0.3522940356164334,0.15576112536458606,0.6022494344830063,1.0000000000758729,2.298349550262241
r2400_c1200,5.15417,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.111710120666375,0.71216142532593,0.26268700366275105,0.5232227517806859,1.0000000000005533,2.6401724391992016
r2400_c1200,5.15417,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,2.858523986882534,1.4269029040308645,0.5009852334669733,0.5984378183046483,9.999999999932434,3.999999806391367
r2400_c1200,5.15417,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.972955935241867,1.0875307260444276,0.40056284088687616,0.7262446150329641,9.999999999999998,3.999999999984656
r2400_c1600,5.06145,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.43092019958507843,0.22077999776320642,0.11008251621583554,0.7136387863204611,9.999999999999998,2.0945676824510944
r2400_c1600,5.06145,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.3055586619877844,0.5877182999657289,0.2107419116325943,0.6596731219275576,9.999999999999998,3.122127276284071
r2400_c1600,5.06145,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,1.0382268779502357,0.4877858965069107,0.1086818659986415,0.5940315480160121,9.999999999999474,1.9589345964996452
r2400_c1600,5.06145,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.5557080272024217,0.7243660029547024,0.11933199121144406,0.5637603336403989,7.49127863206348,2.04491436688331
r2400_c1600,5.06145,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,2.3079549477597494,0.9148164248993452,0.12926935649026003,0.5750321826019257,1.0,2.466771015840831
r2400_c2000,5.18143,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.130716228183005,0.057309418307480924,0.036596237367136415,0.6841123106779256,9.99999999999919,0.8631420301012627
r2400_c2000,5.18143,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.42214692588161823,0.14425615901631209,0.07023804753794961,0.5581448639332066,5.731988434182383,1.2199898433136147
r2400_c2000,5.18143,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.697190804902898,0.8666431165663347,0.36565178058005665,0.520187652460712,9.999999999999998,2.8498185131754217
r2400_c2000,5.18143,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,2.455276194174208,0.7592954033659083,0.26728976469265253,0.4869559907715136,9.999999998910479,2.357401046104187
r2400_c2000,5.18143,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,3.2470836983332623,1.0915028872589698,0.298292126741938,0.4455527317642471,9.999999999999998,2.416865524784662
r2400_c2400,4.51207,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,1.1847324909174897,0.2628911267491909,0.13221679420130267,0.6363255557812852,1.0000000056356109,2.284889595787685
r2400_c2400,4.51207,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.4841179896139862,0.12964194282017852,0.06206571515431839,0.5863452804838961,2.188062514392626,1.2871100055986482
r2400_c2400,4.51207,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.6444939738412233,0.1513907968862443,0.07477376540853674,0.5051809535667137,9.99999999999974,1.2819932846974553
r2400_c2400,4.51207,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,8.147362416798874,1.3797058407027956,0.7699661560140434,0.39983126957100656,9.999999999999998,2.91890891884281
