chunk,band,r_mid_2d,r_mid_3d,b2b1_meas,b2b1_pred,b1_meas,b1_pred,pa2d_meas,pa2d_pred,a2a1_3d,a3a2_3d,usable_2d,usable_3d,usable_both,d_b2b1
r1600_c2000,0,0.01915451822365661,0.01915451822365661,0.45800151430653746,0.45267714652760066,0.27562579664900916,0.2515241872812558,10.091569976061626,10.201241933694698,0.3166166775124165,0.6048151323216214,True,True,True,0.0053243677789368005
r1600_c2000,1,0.03821828837304667,0.03821828837304667,0.3938485525441037,0.3789937009531106,0.6326891235924061,0.6421362938127774,10.122900877054693,10.582320468897997,0.2909055478250447,0.4978276761938351,True,True,True,0.014854851590993146
r1600_c2000,2,0.07625551053335333,0.07625551053335333,0.33765233177401727,0.32419487187982315,0.7653148441376991,0.8681002898719238,7.631981961970193,8.049678761805065,0.2886154071026617,0.41556470037954424,True,True,True,0.013457459894194113
r1600_c2000,3,0.15214974647591237,0.15214974647591237,0.22519340623311732,0.24614846948105643,0.9113062877552778,0.8058464138451611,5.493886143363285,5.646616687501736,0.17028641964298105,0.3479779432017894,True,True,True,-0.02095506324793911
r1600_c2000,4,0.26240258229115665,0.2760041632626885,0.1820046151563606,0.22451570971943655,1.102369586881746,0.8708640378298165,5.0638105476199335,4.93761780004043,0.17087291581907896,0.33023624279783165,True,True,True,-0.042511094563075946
r1600_c2400,0,0.01915451822365661,0.01915451822365661,0.5826249062381542,0.5801928007054922,0.19475617953118468,0.1914180322216545,15.613937640544595,15.811470026633806,0.4640726525804297,0.7078369287548577,True,True,True,0.0024321055326620433
r1600_c2400,1,0.03821828837304667,0.03821828837304667,0.5056338334053051,0.4981664542619006,0.46177188507592676,0.4261092385826519,14.260741343062447,14.954618019350013,0.4309221304219823,0.6111201414937877,True,True,True,0.007467379143404507
r1600_c2400,2,0.07625551053335333,0.07625551053335333,0.4038232346483898,0.40358295611971623,0.3316916580658449,0.34233155406916604,10.235919995528826,11.214638855214318,0.3144976152756359,0.5025118934758627,True,True,True,0.00024027852867358757
r1600_c2400,3,0.15214974647591237,0.15214974647591237,0.22606190768858805,0.26125975292102416,0.7630887334598877,0.5999174814588801,6.321881276301474,6.8256228287538505,0.32775895904477165,0.33871013097280195,True,True,True,-0.035197845232436104
r1600_c2400,4,0.26240258229115665,0.2760041632626885,0.12433144004997589,0.18854120324451132,1.945650483012425,0.638063272845474,5.947333568268052,6.053022094146322,0.36419571686409624,0.25173098133837307,True,True,True,-0.06420976319453543
r2000_c2400,0,0.01915451822365661,0.01915451822365661,0.5641825538843357,0.5653081718551987,0.06636463466988834,0.14947488368333312,5.811030392820916,5.954546938567562,0.2645115259843701,0.6777841869463078,True,True,True,-0.0011256179708629688
r2000_c2400,1,0.03821828837304667,0.03821828837304667,0.5447050386627937,0.5631266293109958,0.1085908723856125,0.14759906128385164,7.878491359978289,8.2451081240231,0.20043530667618795,0.6511495994563086,True,True,True,-0.018421590648202035
r2000_c2400,2,0.07625551053335333,0.07625551053335333,0.5894000225575223,0.6716018081117846,0.13577202847596725,0.405960929242144,8.80587808546107,7.227814291070488,0.14486402977026802,0.5629924173566642,True,True,True,-0.08220178555426227
r2000_c2400,3,0.15214974647591237,0.15214974647591237,0.8102218640507992,0.7363540992366765,0.045229170392565625,2.8094280144482977,7.305710557985838,93.48168703483213,0.5216805126021242,0.2586654399918247,True,True,True,0.07386776481412272
r2000_c2400,4,0.26240258229115665,0.2760041632626885,1.4097065242951774e-09,0.5885799552973613,4.189173522147287,3.21195514611638,0.34032061132204666,95.13865737687136,0.9078154896874495,0.21894169910565522,False,True,False,-0.5885799538876547
r2000_c2800,0,0.01915451822365661,0.01915451822365661,0.4579602967550211,0.4582075270833965,0.0771154181537108,0.09448210035385113,6.994962578879679,6.962239692127703,0.2781288771736949,0.7329041896978785,True,True,True,-0.00024723032837542513
r2000_c2800,1,0.03821828837304667,0.03821828837304667,0.41812068569622585,0.4275482829490874,0.11493646867562667,0.12405776258423447,7.390821888186396,6.842473384956033,0.21482874748626538,0.7111608023406719,True,True,True,-0.009427597252861575
r2000_c2800,2,0.07625551053335333,0.07625551053335333,0.38482629630203596,0.42615857057716294,0.11187715511279682,0.12599129410140708,7.955785649777412,6.755039003424504,0.2295617879807633,0.691919984572386,True,True,True,-0.04133227427512698
r2000_c2800,3,0.15214974647591237,0.15214974647591237,0.26892730319384034,0.38738572586026226,0.16843759193870986,0.1604080542587958,8.732764017592771,7.330694757875697,0.2604172699595207,0.8262946665740487,True,True,True,-0.11845842266642193
r2000_c2800,4,0.26240258229115665,0.2760041632626885,0.15963427076191822,0.22073455203441555,0.3705920643972604,0.4610130385975586,10.811347374573872,98.12117249897166,0.18817248173567186,0.00892339010492604,True,False,False,-0.06110028127249734
r2000_c3200,0,0.01915451822365661,0.01915451822365661,0.28080072698048436,0.2755361966086893,0.3555305899158111,0.14887435268689647,3.8417423157741024,3.8651455748905788,0.2574392505705679,0.8231162243040145,True,True,True,0.005264530371795084
r2000_c3200,1,0.03821828837304667,0.03821828837304667,0.23313314794330176,0.23205074206835438,0.8413297800481218,0.9252814777490265,3.9848832547498367,3.9780501814244937,0.1912607212887101,0.9850236426246525,True,True,True,0.001082405874947373
r2000_c3200,2,0.07625551053335333,0.07625551053335333,0.21392246640125986,0.20648732645750886,0.5228398225943288,0.4473898177501292,3.514268370148009,2.9767920112784045,0.17985090616372712,0.8639542134409215,True,True,True,0.007435139943751001
r2000_c3200,3,0.15214974647591237,0.15214974647591237,0.17778784828912853,0.15252086420333613,5.048228877937893,5.823089953917129,3.899314172546106,3.2225013915304483,0.3590916429087005,0.33868593342372977,True,True,True,0.025266984085792393
