chunk,band,r_lo,r_hi,r_mid,fit_success,usable,T,se_T,p,se_p,a2a1,se_a2a1,a3a2,se_a3a2,a3a1,se_a3a1,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9927441133013152,0.0917796352925092,1.7604349660479413,1.426088835994245,0.11183018678212166,0.3216407061862102,0.650288751496767,0.0838911042851333,0.07272191254219616,0.2413212743846419,0.7312767330000834,0.0806950834989834,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9931125324488284,0.13404863421481034,1.6682057755848452,1.4843511208793723,0.09646507309097498,0.31236265755809206,0.511520049219584,0.26398440505788795,0.049343818935466285,0.20077832444148677,0.6845923273059727,0.10996268257081596,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9877785314869132,0.1556058588345686,1.3907026985675426,1.5821908447875586,0.12896566697634815,0.337636608904172,0.5181417844887349,0.3152678884697665,0.06682250082490494,0.23693346826562073,0.8399260244604482,0.171454212698723,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9982125542709186,0.09815210262644036,2.2851233065402807,0.6498816154067522,0.04790919552409563,0.009224617050844042,0.47079877145355375,0.3086227885331061,0.02255559039407232,0.16160843795034613,0.7150658365056156,0.011706666653328812,2
r1600_c2000,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9992399244921182,0.1925658646298142,2.5602903201096607,2.9551764498075395,0.02989486804024154,0.4301459959222939,0.3868268389507148,0.25821349764832224,0.011564137304855384,0.22983546858982226,0.5630308120697448,0.042778216783481426,4
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9259412566327248,0.025804385441904852,0.6356280916944481,0.18620429886515502,0.35912274573222397,0.05734696632612605,0.6780983469112561,0.061616979679322746,0.24352054021925243,0.04655025826238622,0.7611087473025954,0.08474053934657072,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.997688611592986,0.01316792582030775,2.3429429884613535,0.7051904080371114,0.06820870733899399,0.0827754376278949,0.7101776988233865,0.02682597794456439,0.04844030281772459,0.05213494880090865,0.46426301081812876,0.016665221079964737,3
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9978736463945546,0.006040591712152762,2.2696321512119493,0.9102649709344302,0.054096405779138955,0.06564190523357535,0.5234282162844274,0.09365661763813742,0.02831558518437329,0.042974953188967255,0.42879339566314356,0.06136806434515049,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.6127732482236806,0.40238903311059265,-1.0442009804203187,0.6785806058116332,0.6319275133191201,0.3295641167516827,0.22242138493417074,0.03438363538120066,0.14055419269044533,0.06353393242383083,0.46957415013585535,0.16628901702851495,4
r2000_c2400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.16144158009125115,0.1285948307284583,-1.5151764335739513,0.1326528144854094,0.9187569285764866,0.07975720310314034,0.20191466511783623,0.029652499320705055,0.18551049755821308,0.03450633962857838,0.5951559511213863,0.2463304845704926,4
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9556167317845298,0.017577090377381657,0.865392660200528,0.1265648323232933,0.33428595631660013,0.02060688014683928,0.7942429870982005,0.07440254616261888,0.26550427648987507,0.02563176579734371,0.9685686279679251,0.04383883884701912,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9950835794252955,0.009780000720683883,1.8822069385242903,0.6694203422901308,0.12745906042353533,0.08082289523111603,0.8371490715516915,0.0554239877471011,0.10670223409441354,0.06136645360656097,0.5753234032461678,0.025313452825563104,4
r2000_c2800,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9998684645982845,nan,3.6492520143429195,nan,0.0223131259253997,nan,0.8578481703270153,nan,0.019141274249380422,nan,0.25455245664670356,nan,1
r2000_c2800,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,False,0.999946814581577,0.004607691003428949,3.423554668030617,1.0677030455696457,0.007493521348104761,0.0218757703674032,0.22988828993788202,0.11966203065006305,0.0017226728083288155,0.017536107954781083,0.05696218908858493,0.02682544649262857,2
r2000_c2800,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.4185008209968993,0.2642905469675675,-1.1718709042584852,2.3077188366530637,0.7718508956288116,0.3757649117034243,0.2391092323721934,0.20502579270663102,0.18455667515959512,0.08945125160107739,0.06907943124460594,0.061233079747585996,4
