chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_T,se_slope_T,T_first,T_last,slope_p,se_slope_p,p_first,p_last,slope_a2a1,se_slope_a2a1,a2a1_first,a2a1_last,slope_a3a2,se_slope_a3a2,a3a2_first,a3a2_last,slope_a3a1,se_slope_a3a1,a3a1_first,a3a1_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r1600_c2000,5,5,0,0.009599999999977628,0.5006797572968483,0.006128372423862857,0.09559001367713892,0.9927441133013152,0.9992399244921182,0.7502798542035533,1.4075545271276417,1.7604349660479413,2.5602903201096607,-0.07224166224242429,0.14108886673395754,0.11183018678212166,0.02989486804024154,-0.19407577064365342,0.24860192462303754,0.650288751496767,0.3868268389507148,-0.05091315793536896,0.16780847605627003,0.07272191254219616,0.011564137304855384,-0.10080609362988362,0.08800361695613046,0.7312767330000834,0.5630308120697448
r2000_c2400,5,5,0,0.009599999999977628,0.5006797572968483,-0.6460683117349851,0.21664321303051154,0.9259412566327248,0.16144158009125115,-2.6084501601585393,0.11610860652477775,0.6356280916944481,-1.5151764335739513,0.5679049891534719,0.1239082419593547,0.35912274573222397,0.9187569285764866,-0.4943585951951361,0.05295890533260506,0.6780983469112561,0.20191466511783623,-0.011151025893271245,0.037649239133598134,0.24352054021925243,0.18551049755821308,-0.11752750974614148,0.28525475868042155,0.7611087473025954,0.5951559511213863
r2000_c2800,5,4,1,0.009599999999977628,0.5006797572968483,-0.47832459219705387,0.18463054423464376,0.9556167317845298,0.4185008209968993,-1.7636373675409016,2.0730157762136723,0.865392660200528,-1.1718709042584852,0.40870141155349304,0.2530527903216192,0.33428595631660013,0.7718508956288116,-0.4929092433668905,0.2582687239152095,0.7942429870982005,0.2391092323721934,-0.05329761713120931,0.045369216476402005,0.26550427648987507,0.18455667515959512,-0.7582685186295434,0.07444238908046368,0.9685686279679251,0.06907943124460594
r2000_c3200,5,5,0,0.009599999999977628,0.5006797572968483,-0.09942773761508394,0.24863203924037497,0.9856799259698851,0.8508929241267148,-1.7180251789448753,1.5974982281503365,1.3869383447765289,-0.3934154006490034,0.15424222973960072,0.3915746049551539,0.20358493015845266,0.39860631826178267,-0.5346126200706515,0.23533298859736881,0.8148643110005321,0.2689589748547764,-0.053762138160705575,0.1298100872717643,0.16589409384365897,0.1072087467303258,-0.39784720294058645,0.2138729199717981,0.8156838149224596,0.38266097912752295
r2000_c3600,5,2,3,0.009599999999977628,0.5006797572968483,nan,nan,0.9683049583031449,0.5382700486098447,nan,nan,0.4425666685366858,-2.763954958649099,nan,nan,0.18570309501200832,0.6798433119688555,nan,nan,0.28908356642306515,0.042858645617490185,nan,nan,0.05368371300187269,0.029137163583094,nan,nan,0.8888496787579752,0.28605126021155397
r2000_c4000,5,4,1,0.009599999999977628,0.5006797572968483,0.025587449723354833,0.07995969462293158,0.9706654507900734,0.9966957911313933,-0.0159235544792811,2.4993158517930762,0.5536474544575141,1.2581865591957149,-0.11390516885460032,0.10261930990016069,0.1800621054594246,0.05874709968862798,-0.21518855383314944,0.3459042488608967,0.3132336119381173,0.20673304928215108,-0.05039598773154527,0.07667698616763875,0.05640150366623776,0.01214496705511257,-0.32410783821521777,0.21061523941671678,0.5069285863067309,0.2579641581494859
r2400_c1200,5,5,0,0.009599999999977628,0.5006797572968483,0.02096357292910597,0.20273731334410572,0.8947086388028986,0.9137749342738534,0.45593635941708777,0.515461515660172,0.24103981378439254,0.5274782133152511,-0.017717247395362654,0.26812433971281646,0.3600617257783895,0.36309230423738165,0.1720449476091989,0.08391449822271828,0.4582043625489285,0.6153155938410161,0.0423887367922941,0.1558621001504265,0.16498185353855407,0.22341635680092736,-0.25015400559626294,0.18895263026222733,0.8362389219880944,0.5644746471321785
r2400_c1600,5,5,0,0.009599999999977628,0.5006797572968483,0.16599807004976846,0.02998725529688249,0.7735865001596574,0.9864051528604436,-0.5491795997317487,0.5669204132488774,-0.1344871499535074,-0.49619681211883315,-0.3185022553981029,0.11745747604377525,0.5189198663885088,0.11688929228449299,-0.3545423257569087,0.20899226607799792,0.45362112412484445,0.07116708732974644,-0.19257350553961292,0.0895419413789234,0.23539301312186947,0.00831867047192277,-0.42887229238174834,0.09494260621806314,0.7640743301806093,0.2716658155598313
r2400_c2000,5,4,1,0.009599999999977628,0.5006797572968483,0.05579678738715713,0.15205278014905727,0.9253269368465442,0.9995092962542413,1.9123721889276408,2.375257227729441,0.4490037091003716,2.6452011953980135,-0.22462107877817777,0.3582449798668712,0.30871321233499033,0.023471090818395646,-0.1024155932784561,0.43821966833338766,0.4836765700343444,0.33062033117978507,-0.10667050583124792,0.20807561797823187,0.1493173476664724,0.007760019819528781,-0.2877769144069199,0.35330375029816924,0.8524685876764948,0.4818529388852604
r2400_c2400,5,5,0,0.009599999999977628,0.5006797572968483,0.062064909010580066,0.10182070213607931,0.8218292852844309,0.9048076902052542,0.1498680069767893,0.8191359823265704,0.14973576929135746,0.25901089359471685,-0.12006944375781163,0.15051075602584896,0.49436585407397493,0.33975061927666783,-0.08527609334338465,0.12393816493153628,0.5742194312443697,0.4401971828497012,-0.09866311559154757,0.020807430542414507,0.283874479552995,0.14955726547703055,-0.36947658754785084,0.12196271508916628,0.7627892806479022,0.3017227961515523
