chunk,band,r_lo,r_hi,r_mid,fit_success,usable,T,se_T,p,se_p,a2a1,se_a2a1,a3a2,se_a3a2,a3a1,se_a3a1,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9340043913657632,0.1416989618178378,0.6472341713245546,0.6353870584638902,0.3166156782630884,0.23677517635239823,0.6048151282995355,0.06375686008819739,0.19149395207033426,0.14413693806920702,0.6090252959428043,0.08596399152911191,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9349857953531971,0.15209293984578098,0.5372712709746068,0.6736307988950071,0.29090015744488285,0.21882348831030524,0.4978263780136547,0.15806420538821053,0.14481777174438792,0.11494239688012134,0.633517546892501,0.11179340637212148,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9300763984659135,0.1854203472962697,0.3645224905450779,0.8941911806936558,0.2886244412634488,0.22754870889663512,0.41556906519084685,0.2740674473973184,0.11994338924708194,0.10171753143463218,0.7037481182362132,0.18094969169484418,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.985780591749981,0.3303089501072684,0.983455065251031,2.5273799150780576,0.12661059318082385,0.47025447489687305,0.33851596184364424,0.27122107747510826,0.04285970673020094,0.16644763930304793,0.6783531950733188,0.15015309029061188,4
r1600_c2000,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9956649849013718,0.3386260537556852,1.4164678672356024,2.4979843447806336,0.06863295599019435,0.49769487039977656,0.28294165056303,0.25123332766726464,0.01941912185088539,0.19799807524518978,0.6019132943008247,0.12966664972164701,4
r1600_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.8795505423134268,0.07600085666093695,0.4222005299918514,0.27535938585226194,0.4640593361682514,0.09688738431753001,0.7078363718064121,0.04943521433679273,0.3284780768162272,0.044139808630198216,0.604109686896786,0.011706544446939497,4
r1600_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.8749952705039512,0.0765204536081614,0.34939426951348906,0.31114626819439006,0.43090800899123327,0.09596256354860419,0.6111172874815434,0.09035068547945206,0.26333533360879496,0.051140845917717545,0.5652190820762817,0.02766255576908052,4
r1600_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9264497849841317,0.06200783890401756,0.48459005285075074,0.4238182257579234,0.3100056542877683,0.09788290590472906,0.5032970687990242,0.07430286220510109,0.15602493711415744,0.028359059549853915,0.47637723225636347,0.07667403859763766,4
r1600_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9579608534595736,0.06287210161938814,0.38234767725836893,0.8859585339358593,0.21560736370436545,0.1595162376062324,0.31602036894078084,0.0640485931400458,0.06813631862420269,0.053955600835162924,0.3114774348449246,0.10900721654276022,4
r1600_c2400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9703842790273529,0.06111793871240876,0.10028334999637295,0.9155051308209939,0.17531699291193462,0.16986270013277122,0.19381015033663518,0.10691408653597194,0.03397821275282885,0.04996743436058054,0.23389296368984702,0.11907465793581148,4
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.960030347101441,0.019602745956810816,0.9305273815553372,0.2851971867988581,0.2678810091271955,0.05486421137736637,0.6793050346367314,0.1415707889297311,0.1819729181836721,0.05942456942856573,0.6344408075852281,0.06547553781963679,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9825449906636744,0.009625668874305538,1.3308028839178743,0.30764133613209316,0.1755363052668118,0.037988754475003314,0.6642434826812419,0.13092367010548453,0.11659884674742468,0.0355046633401043,0.5476915247068181,0.08173505661850396,4
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9919386419466211,0.0062796956314673386,1.6481956321850837,0.6913561771023817,0.10853523359235087,0.05477759354508898,0.5641219694575341,0.17274491949815282,0.06122710972965049,0.042789574010574934,0.41882305301146977,0.01636348667437097,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.7413619375895814,0.32474782285060766,-0.701572158832148,1.4264451552934212,0.5216651392065969,0.394310012133564,0.2586442919114062,0.080126913033474,0.1349257105449554,0.0934935637031379,0.3723949571061131,0.08410703748746833,4
r2000_c2400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.1831079448349916,0.3422113238124071,-1.4222395411416804,0.4132413320155479,0.9078136489450631,0.20354381035665714,0.2189404081660155,0.05986128354993476,0.19875709083871204,0.04974883148073189,0.45648399768825226,0.11165512294138326,4
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9569353165852523,0.031230516002978558,0.8989780365485771,0.2821005240189098,0.30421632636988793,0.030279832510714724,0.7474871278048311,0.15806443859469405,0.22739778802956462,0.035786081105036435,0.86534471114574,0.033126263243518,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9869383346404519,0.011505456877964403,1.4745607329397918,0.3558419803206451,0.17280888957922408,0.033291196729786046,0.7550221090353088,0.20924844175330615,0.13047453227015554,0.04657490293623858,0.6208254209238049,0.015271000179855887,4
