chunk,band,r_lo,r_hi,r_mid,fit_success,usable,T,se_T,p,se_p,a2a1,se_a2a1,a3a2,se_a3a2,a3a1,se_a3a1,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9927468807388302,0.09215054857706904,1.7606248585595115,1.4300377303511913,0.11180901850548783,0.3224062991898207,0.6502891319973559,0.08117804604033566,0.07270818959340998,0.24131946647246205,0.7312727032313814,0.0771840500078731,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9931100210269175,0.1340500581280653,1.668025946806538,1.4845832939127381,0.0964827210416213,0.3123797007907998,0.5115216354568124,0.2639854233644606,0.049352999260533534,0.20078774009801817,0.6845966465485681,0.10995913936345934,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9877781116363418,0.15500252085398789,1.3906847521683205,1.5868137573102632,0.12896781062155657,0.33918067587441497,0.5181410981022138,0.3031716682144837,0.06682352301529168,0.23460783294412307,0.8399263943123849,0.16959303474501297,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.991546181502242,0.1780831216418367,1.4939610401395147,2.0373448774436436,0.10349589604808385,0.3423331373926504,0.46104377741810415,0.35848765223287726,0.04771613886128001,0.26273098644585074,0.8398328962894539,0.1891198135935613,3
r1600_c2000,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9931364437019389,0.2004416052132478,1.4858788880527374,2.0204210547384345,0.09029058484991846,0.3594594596417994,0.3989803141934791,0.21606102617123757,0.036024165912133456,0.1873198868948798,0.8071537869228121,0.27001096931236424,3
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9396259906790505,0.026959663156739623,0.7246265480221608,0.22379194550704012,0.3195329403424388,0.08187021605638585,0.659503260596717,0.06933827562580491,0.21073301602389463,0.0707482334628122,0.8606606833377112,0.13050722044781551,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9862015529503785,0.016552192353485196,1.4465879148588812,0.5721032668264572,0.15612558774341184,0.08107641055994055,0.663314109426912,0.0357579758034252,0.10356030519277444,0.04955293667867122,0.7031693446412929,0.17276452403221265,4
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9978766542884504,0.006039895142216119,2.2704111114158616,0.9098306657175682,0.054060501104935064,0.06560201556140448,0.5234884262403857,0.0936820921142914,0.028300046645189092,0.04295825032756417,0.4287861355140671,0.06136200684741924,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.6127475496229579,0.402508712832767,-1.0442749207482538,0.6786783990242353,0.6319472233668011,0.3296626230278661,0.22241187652252323,0.03437396941819468,0.14055256781220837,0.0635801696725565,0.4695471383554363,0.16630769624486122,4
r2000_c2400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.1615485304381857,0.12843661447515514,-1.5152052247057335,0.1325457207207156,0.9186997993669526,0.0796571151550231,0.20189629695877842,0.029604070124066448,0.18548208750896042,0.03444350181894212,0.5951067719186109,0.24625885629408056,4
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9715420758410739,0.028368299795773076,1.099879211231582,0.5989007911648637,0.24429359189957284,0.1549698416774265,0.7338098673090758,0.10606665326318973,0.17926504825628306,0.1337538106332453,1.1015602943484804,0.12703957673274077,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9822458065277148,0.013166928767714171,1.3242006598609128,0.2919169675978957,0.2008022559397388,0.07116516989330882,0.7548516820803923,0.07723377832502124,0.1515759206616493,0.06212345928615027,1.1377923733643278,0.2212309710494141,4
r2000_c2800,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9865899888159039,0.010035075899817647,1.44995650966686,0.30305282743119294,0.18260717807219984,0.037841007512842986,0.7784414559991744,0.11059042646500689,0.14214899757442376,0.02668954985531247,0.8066181765321182,0.16296676260939877,4
r2000_c2800,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9765748158686629,0.022585842455346193,1.1956337685918639,0.6742525931331693,0.2154550343265866,0.07471039789422469,0.7122193921187973,0.1803376169734051,0.15345125357701614,0.04070857607482226,0.6564763860102417,0.17807841881141095,4
r2000_c2800,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9985188592289878,0.2628358029965064,2.1552409064536517,0.36001210638333564,0.10840787766703093,0.34530991221623025,0.9355566175273771,0.11876115923754081,0.10142170734348914,0.09556581681499103,0.1584983221429944,0.05317577024786903,3
r2000_c3200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,False,False,nan,0.005040777136104735,nan,0.1055077095989847,nan,0.033317504311290394,nan,0.032339680039269736,nan,0.03138820061591231,0.9111662897834539,0.04124807107734002,2
