chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_T,se_slope_T,T_first,T_last,slope_p,se_slope_p,p_first,p_last,slope_a2a1,se_slope_a2a1,a2a1_first,a2a1_last,slope_a3a2,se_slope_a3a2,a3a2_first,a3a2_last,slope_a3a1,se_slope_a3a1,a3a1_first,a3a1_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r1600_c2000,5,5,0,0.009599999999977628,0.5006797572968483,-0.0003479076699980122,0.135676404598109,0.9927468807388302,0.9931364437019389,-0.25125997589951554,1.0254516461866536,1.7606248585595115,1.4858788880527374,-0.011915332823646712,0.13769526822844297,0.11180901850548783,0.09029058484991846,-0.18951791220922157,0.20143696727205387,0.6502891319973559,0.3989803141934791,-0.02551990114281998,0.1524659434949786,0.07270818959340998,0.036024165912133456,0.10683943058602809,0.24150163325851828,0.7312727032313814,0.8071537869228121
r2000_c2400,5,5,0,0.009599999999977628,0.5006797572968483,-0.6515791515817047,0.22424804864619793,0.9396259906790505,0.1615485304381857,-2.363308846981652,0.42161314540487044,0.7246265480221608,-1.5152052247057335,0.5652656083117642,0.1734793899304961,0.3195329403424388,0.9186997993669526,-0.46540395879461766,0.05339601176742839,0.659503260596717,0.20189629695877842,-0.007271336038345488,0.07414173309456353,0.21073301602389463,0.18548208750896042,-0.2685591302211992,0.365582064931793,0.8606606833377112,0.5951067719186109
r2000_c2800,5,5,0,0.009599999999977628,0.5006797572968483,0.01625714043247097,0.19395511421863498,0.9715420758410739,0.9985188592289878,0.6636682251579229,1.6923726339021785,1.099879211231582,2.1552409064536517,-0.08658536780350116,0.2443202756512226,0.24429359189957284,0.10840787766703093,0.11969393412154154,0.30871092186974336,0.7338098673090758,0.9355566175273771,-0.05203165300005421,0.06540475127091072,0.17926504825628306,0.10142170734348914,-0.8040613518446529,0.27161477753671476,1.1015602943484804,0.1584983221429944
r2000_c3200,5,4,1,0.009599999999977628,0.5006797572968483,-0.14529574490691508,0.2988386787788407,0.9865451253475623,0.8477237125236282,-2.223258894491195,1.63952973316037,1.467788633430887,-0.397870631766119,0.24414465946519892,0.42867909976312557,0.16481852457222784,0.40293939616080016,-0.581775404196988,0.1846182161604463,0.7152510864968977,0.2706741062164252,-0.03199235934236975,0.15720303069040295,0.1178866287751016,0.10906526091521065,-0.5311856854660976,0.17959595126341726,0.8041614074817,0.38708074939113984
r2000_c3600,5,3,2,0.009599999999977628,0.5006797572968483,-0.7319669032116439,nan,0.9795539344152396,0.3938690081268405,-4.4861717473433815,nan,0.6698537015029622,-2.821183973105135,0.7995605803690184,nan,0.14935540427995944,0.7788740367236809,-0.3031772596698315,nan,0.29183320719972444,0.04637058716855827,-0.004317730158938334,nan,0.04358686664363202,0.036116846413222305,-0.6704075322455929,nan,0.8746892845541374,0.32851885672000175
r2000_c4000,5,3,2,0.009599999999977628,0.5006797572968483,0.05661281310822714,0.03431909462297269,0.9010057695405563,0.9349734574054925,0.5888991146925147,0.8331830059061612,-0.2519894950966428,0.10134997371886545,-0.09670280512764481,0.12702918956768067,0.3240288999712402,0.2660072168946533,0.07088029145755408,0.06593719360023918,0.25185240315617463,0.294380578030707,-0.0055001648000348215,0.039519893033674786,0.08160745714980856,0.07830735826978767,-0.35193613560524245,0.11283466187896157,0.7883684731708817,0.5772067918077364
r2400_c1200,5,5,0,0.009599999999977628,0.5006797572968483,0.04280053659755078,0.20645390118105367,0.873852883295158,0.9137779458151669,0.5994826999194209,0.4257584768406765,0.13747174624175873,0.5275064042814788,-0.057134824428072745,0.25084143801525355,0.3913032078586771,0.3630910099731939,0.17729256484369124,0.08936142324046889,0.44896928300060845,0.6153307470356597,0.02886173852115633,0.14516838504661175,0.1756831206681483,0.22342106240873755,-0.37864426308826044,0.20733132153823902,0.9671488601895831,0.5644773246107209
r2400_c1600,5,5,0,0.009599999999977628,0.5006797572968483,-0.02033657380345251,0.2272182641386274,0.7356083332321212,0.7677565467193498,-0.9804484243045796,0.7983426969237708,-0.22219510931283448,-1.0770889704915323,-0.0007898573114474893,0.2043243213060691,0.5564215798517663,0.48708995638871455,-0.2622800635386222,0.15926249804777182,0.44555965103205,0.1658957951044605,-0.13195346656045287,0.05548279303567114,0.2479190049454549,0.08080617560250279,-0.301208764918653,0.6639284450759425,1.0046419731500147,0.5975513542695609
r2400_c2000,5,5,0,0.009599999999977628,0.5006797572968483,0.07070275942629917,0.16809641313414786,0.9089180947486591,0.9995846041393803,2.1676166556950447,1.208589814710036,0.34686005656677743,2.7532482679470256,-0.2630952632155546,0.29249674406911463,0.3394627536400032,0.02167282151224083,-0.09643976392908575,0.43268567348522075,0.48021037449922244,0.34012298698522186,-0.12122814255597614,0.1927302099752587,0.16301353605400323,0.007371424789140926,-0.1476515387112977,0.13667046413353037,0.8918432335631052,0.7087586502301272
r2400_c2400,5,5,0,0.009599999999977628,0.5006797572968483,0.015184429067755675,0.13539133602383532,0.9091075131434417,0.9048124671612071,0.11484707108091491,0.7788125608364829,0.42589239940743884,0.2589911292361011,-0.05262894035528668,0.18353377115642897,0.3511009583199536,0.33973822217675803,-0.04067077268510672,0.09874810673355743,0.5375201308564943,0.4401724207614518,-0.04516363314016195,0.0355021968331928,0.188723833059982,0.14954339568073555,-0.6440199293816863,0.22078765767026776,0.92753493506363,0.30171273455369996
r2400_c2800,5,5,0,0.009599999999977628,0.5006797572968483,-0.5341757243508314,0.24743595301547228,0.8954065779544297,0.3206539930413865,-1.8123800930965979,0.4771637976909584,0.4886364060115751,-1.193192053406172,0.4198808578926545,0.19682960206504804,0.4426454657097064,0.8327839788585438,-0.4587255416881481,0.14963171986081106,0.7215527971825627,0.2525431754622533,-0.062413340512278655,0.06751521733138062,0.31939207394301683,0.21031391049502668,-0.5479335960843995,0.07523695324535168,1.1438054038144596,0.5322636099242422
r2400_c3200,5,5,0,0.009599999999977628,0.5006797572968483,0.030153139913606575,0.274930016211194,0.8899574140676749,0.9170822152780245,-0.6235502055259229,1.043080926807795,0.3121364519561798,-0.47397599096534204,-0.08551205468390385,0.36556009725550503,0.3807242721863223,0.29243268713656095,-0.27862934618693724,0.056504219424746815,0.5201992285573072,0.18204583932276383,-0.1201430313975792,0.08839558672866459,0.1980524726843671,0.05323615397518643,-0.1493016309725824,0.3343940460759342,0.9058666466398113,0.7517327560486318
r2400_c3600,5,3,2,0.009599999999977628,0.5006797572968483,0.03386118462671127,nan,0.9761532994798129,0.9964700102558397,1.2282187464574088,nan,1.173827224991026,1.9107584728654707,-0.17657909183947842,nan,0.23843734937226407,0.13248989426857713,0.20700939629409748,nan,0.7711892583731036,0.8953948961495619,-0.10874924585227655,nan,0.18388032263084494,0.11863077511947906,-0.9950044513954063,nan,1.0582154166730986,0.4612127458358554
r2400_c4000,5,4,1,0.009599999999977628,0.5006797572968483,0.007220829740104224,0.012591541529079257,0.9847275497366114,0.9944314807848205,-0.4227694773191099,0.5154668678018831,1.336807278844181,0.6263222816881089,-0.11429042799236552,0.029923800653962305,0.2181298355053865,0.07537126958955698,-0.5080273578973887,0.21622716903359562,0.8303918850798792,0.14099838609269477,-0.13625281363561412,0.03370908834095803,0.18113324529748187,0.010627227369884938,-0.6533977869705784,0.22815879290556873,0.9197974035837959,0.11748408069184024
