measure,subset,slope_per_dex,ci68_lo,ci68_hi,wilcoxon_p,n_windows_negative,n_windows
p = ln(a1 a3/a2^2),all_5_bands,-0.4062501479057025,-0.7096591453100659,-0.02011450768284458,0.22136975452303886,19,29
T (triaxiality),all_5_bands,0.02192358603813666,-0.010418887325817822,0.038506354384721664,0.4293668270111084,14,29
a3/a1,all_5_bands,-0.1340417078044233,-0.15303533914010173,-0.09045572153167411,1.1436641216278076e-06,25,29
a3/a2,all_5_bands,-0.276426960977126,-0.30637435270606456,-0.23302382959180545,3.725290298461914e-09,29,29
a2/a1,all_5_bands,-0.09727528628450613,-0.19621381398948448,0.005548688681480667,0.25600792095065117,16,29
alpha (profile slope),all_5_bands,-0.34024719144484944,-0.47613964399747644,-0.31757409477422344,9.822472929954529e-05,22,29
p = ln(a1 a3/a2^2),outermost_dropped,-0.12239185071817832,-0.27520957942220636,0.1411076013302923,0.9196710959076881,15,28
T (triaxiality),outermost_dropped,0.03669274375679654,0.02578289784732498,0.04601270258031306,0.4117337390780449,10,28
a3/a1,outermost_dropped,-0.18506260417477488,-0.21567699766767365,-0.15692570617256862,7.450580596923828e-09,28,28
a3/a2,outermost_dropped,-0.30255094766795754,-0.3459351733484394,-0.27950256099802917,5.21540641784668e-07,25,28
a2/a1,outermost_dropped,-0.16700323413401952,-0.2168231902275711,-0.11117427240698691,0.0008751451969146729,21,28
alpha (profile slope),outermost_dropped,-0.3906898814285219,-0.5684673933461073,-0.305002007710898,7.204711437225342e-05,23,28
