measure,subset,slope_per_dex,ci68_lo,ci68_hi,wilcoxon_p,n_windows_negative,n_windows
p = ln(a1 a3/a2^2),all_5_bands,-0.24282351475546948,-0.5264413712606704,0.14986800697678912,0.6528128087520599,15,26
T (triaxiality),all_5_bands,0.01290034924522208,0.00415787222246308,0.025587449723354836,0.6893201172351837,10,26
a3/a1,all_5_bands,-0.08129539798458227,-0.09866311559154735,-0.05329761713120916,0.00014480948448181152,21,26
a3/a2,all_5_bands,-0.2481921654260757,-0.3545423257569081,-0.21518855383314905,0.00041159987449645996,22,26
a2/a1,all_5_bands,-0.10846912045537566,-0.12850068564383002,-0.01771724739536259,0.42270219326019287,16,26
alpha (profile slope),all_5_bands,-0.3752232793145707,-0.3997035700962794,-0.3059423763110687,3.185868263244629e-05,23,26
p = ln(a1 a3/a2^2),outermost_dropped,0.5082900750088425,0.033304503981318116,0.9551178471453131,0.25210392475128174,9,25
T (triaxiality),outermost_dropped,0.035920590944340886,0.008544850580760032,0.044295501468570614,0.4741646647453308,8,25
a3/a1,outermost_dropped,-0.13386097703431707,-0.18227882090076253,-0.12634967172398448,2.562999725341797e-06,22,25
a3/a2,outermost_dropped,-0.3209585831927218,-0.3591308435777615,-0.3124653294489695,0.002255260944366455,20,25
a2/a1,outermost_dropped,-0.21984197170233447,-0.24086740400139128,-0.1559591588077238,0.0037809014320373535,18,25
alpha (profile slope),outermost_dropped,-0.5047397521933252,-0.5648724554556387,-0.46962565618664875,2.2113323211669922e-05,22,25
