measure,subset,slope_per_dex,ci68_lo,ci68_hi,wilcoxon_p,n_windows_negative,n_windows
p = ln(a1 a3/a2^2),all_5_bands,-0.1075091338440261,-0.21105737976315148,0.19153699621462056,0.8489041775465012,15,28
T (triaxiality),all_5_bands,0.006592174248833333,-0.00034790766999781206,0.015756559148722205,0.9196710959076881,13,28
a3/a1,all_5_bands,-0.04859764307010799,-0.07710849302905742,-0.04044455631930507,0.0001721307635307312,23,28
a3/a2,all_5_bands,-0.19412253107721467,-0.2365548120591499,-0.12830757502542758,0.01025690883398056,20,28
a2/a1,all_5_bands,-0.06661107262560212,-0.08658536780350093,-0.034525078625859684,0.3160962611436844,19,28
alpha (profile slope),all_5_bands,-0.42861189504389585,-0.46872943760241753,-0.354599054174449,2.380460500717163e-05,24,28
p = ln(a1 a3/a2^2),outermost_dropped,0.1376731739622644,-0.09094097063379489,0.29169388213435316,0.41325296461582184,11,27
T (triaxiality),outermost_dropped,0.009121676300354752,0.006480800790318234,0.03386118462671093,0.10562613606452942,8,27
a3/a1,outermost_dropped,-0.1016098459498661,-0.11191151768189699,-0.09730803367478877,2.041459083557129e-06,25,27
a3/a2,outermost_dropped,-0.1870388670307849,-0.29373331738775943,-0.14552423274259343,0.01738584041595459,20,27
a2/a1,outermost_dropped,-0.0982700409914462,-0.11657412514208926,-0.08601657997433164,0.010378450155258179,21,27
alpha (profile slope),outermost_dropped,-0.48728437826849424,-0.5554753072823087,-0.36813293846507333,1.3470649719238281e-05,24,27
