chunk,size,r_split,n_inner,n_outer,w_frac_inner,r_min,r_max,a1_in,a2a1_in,a3a2_in,alpha_in,a1_out,a2a1_out,a3a2_out,alpha_out,ang1,ang2,a2a1_full,a3a2_full,alpha_full,n_blocks_ok,se_a2a1_in,se_a2a1_out,se_a3a2_in,se_a3a2_out,se_alpha_in,se_alpha_out,se_d_a2a1,se_d_a3a2,se_d_alpha,se_ang1,se_ang2,d_a2a1,z_a2a1,d_a3a2,z_a3a2,d_alpha,z_alpha,z_ang1,z_ang2
r1600_c2000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,3.432121174067452,0.16501765156902395,0.369415445767793,0.6885800662484128,2.0844225680878976,0.2778520401096333,0.3145359461427516,0.9921019735200649,2.0087622203813194,4.490586415482292,0.1478504809035796,0.3562923059108281,0.692783933381799,4,0.4151192681373939,0.34877537969861855,0.2885801332555082,0.35724530417413775,0.15791456694214007,0.5736574403627304,0.07568718722983275,0.11216835410633758,0.418236935979504,29.696595237387356,57.015406676882826,-0.11283438854060937,-1.4907990727410032,0.054879499625041406,0.4892600953475226,-0.30352190727165207,-0.7257176044502353,0.06764284606783245,0.07876092932093426
r1600_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.8474084234243827,0.38657787461928717,0.4424150871455067,0.4972354318840539,18.857599204497117,0.17581614261172782,0.19505122493319105,0.2268008514171762,20.617243838569188,21.15982781238422,0.386058278377758,0.4162403859351864,0.5308791706344655,4,0.12940368121137835,0.2950217078894514,0.07588412227385864,0.3425761527726055,0.023354506035651888,0.1576980421114869,0.23600946592961433,0.285937342136615,0.16652540231351481,6.704090501499427,33.54145309534187,0.21076173200755935,0.8930223674605294,0.24736386221231565,0.8650981378085633,0.2704345804668777,1.6239839490538186,3.0753230186791134,0.6308560261905537
r2000_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,4.696129725983467,0.39323188745686527,0.3644793515674439,0.42378448141262487,1.8558345023098555,0.837240104611019,0.2734128543301195,0.6605045626002084,84.33680128497568,83.94098652159103,0.5860074974408203,0.2745426868607406,0.40943016817552585,4,0.1621508172757267,0.18680707245830244,0.09929941032431697,0.052261324255392,0.07643096567905958,0.16801892200374022,0.3208250922275893,0.05739990918069504,0.1950656284494887,48.64626655183228,47.38908837849615,-0.4440082171541538,-1.3839572649111245,0.09106649723732435,1.5865268523447802,-0.23672008118758353,-1.2135407097046882,1.7336746941333179,1.7713146505616495
r2000_c2800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.21393000700511444,0.246585842512182,0.7220640799455046,0.8409263614310648,10.19172786981662,0.426493407138895,0.10072200755857232,0.04191030505561834,65.19702073143308,34.74576117828259,0.24807050602798766,0.7223179129699656,0.8397622572359222,4,0.04271872956186552,0.18251842039423147,0.21231255182149486,0.30989985056167935,0.021370232294921875,1209.2653242522756,0.19904026369857325,0.49195315064072354,1209.2447916607455,41.589971091259414,37.68905087820583,-0.179907564626713,-0.9038752324965023,0.6213420723869323,1.2630106577784728,0.7990160563754465,0.0006607562520720875,1.5676139949309786,0.9219059745114134
r2000_c3200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,12.395712958244376,0.2951574284454238,0.45531844873796706,0.47377757587303304,1.322328085157914,0.6478194205459494,0.36717197391296624,0.7833527119782917,20.013654384479757,19.479626112641917,0.31725698900318994,0.408933562301996,0.4849873971105157,4,0.029674690672888766,0.18297188646144513,0.08431990211724494,0.05202420611313732,0.25226959808310095,0.2389679656461744,0.18253286571474062,0.0756384785415266,0.48789570348560407,28.162791575295316,27.827606650513925,-0.3526619921005256,-1.9320465425205127,0.08814647482500082,1.1653655193051928,-0.30957513610525866,-0.6345108880721944,0.7106417107470246,0.7000108330294429
r2000_c3600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,5.663696294339601,0.2990851327179086,0.2625584399213073,0.47989762952080817,2.1344635344355436,0.5756511995721331,0.23284065735058992,0.7002536053745513,69.93378674045921,70.1009097204656,0.36461266509063606,0.2359543209924309,0.4679599496325919,4,0.2701066897948412,0.44062804395853844,0.07563675324817956,0.13698078219296508,0.17493581304280814,1.0027373393732155,0.49541888775736054,0.06210544217871361,0.9343454658721553,29.485160110179738,29.070933400750594,-0.27656606685422447,-0.558246917282809,0.02971778257071736,0.47850528920158,-0.2203559758537431,-0.23583993704946604,2.37182998088298,2.411374576595316
r2400_c1200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,3.694163284238594,0.43880991599802077,0.35536115951835784,0.5484637075556641,1.3385278790987996,0.6448559485465862,0.4040199675194961,0.9720459039404186,11.796132162111142,12.296935374883413,0.4564857461443597,0.3300154218506181,0.5809801951273047,4,0.058969574801592095,0.3397579579860433,0.0773082389056856,0.09765726283340306,0.02196479560418378,0.2657945099123014,0.30542921609320994,0.03991192855732427,0.255704076195123,26.69025538858868,25.44927977071518,-0.20604603254856546,-0.6746114048424398,-0.048658808001138254,-1.2191545174583862,-0.4235821963847545,-1.6565328276641427,0.4419640048537915,0.48319384617845484
r2400_c1600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.2823637296575388,0.4690460788189367,0.19765074287859394,0.5786961308952958,34.10270315784355,0.15389342446134163,0.13262056084822288,0.3774561927394642,1.5665778500555383,6.9487869610502315,0.42407107409201267,0.19055611884544468,0.5860618654536822,4,0.11183420698868772,0.37198717558265454,0.04015432065445606,0.07385254348400032,0.06425831107219014,0.20004634586107717,0.27371509796634247,0.05322826378568339,0.17234474441440562,45.664458283191145,45.70760120374229,0.31515265435759504,1.1513893705503522,0.06503018203037106,1.2217227729276787,0.20123993815583163,1.1676592682858207,0.034306283463176164,0.15202694471048508
r2400_c2000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.8892571806105747,0.3346209435365696,0.40203893446960404,0.5221202205131037,10.077473225264129,0.11994187294364936,0.21499796130315893,0.601222390145706,68.09875831784717,68.24696557635086,0.34364727819160323,0.35737419843785695,0.49666879454732077,4,0.27754012304589665,0.09497045446248031,0.16277403441802243,0.2450135079848317,0.05081660916431426,0.47844057837416876,0.24512840718870968,0.18226652277169608,0.5262352100074288,56.68028009400871,52.897082526083096,0.21467907059292027,0.8757820974525067,0.1870409731664451,1.0261948838554924,-0.0791021696326023,-0.150317136003662,1.2014541601576425,1.2901839254121221
r2400_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,2.0599698198148544,0.2131294418853181,0.599032789123115,0.49897981034228606,5.476487771322892,0.40036133193157913,0.38736665395746045,0.5298443266757887,7.332546419181423,15.619565798964858,0.22078237474495532,0.5105148645159063,0.4340536592415777,4,0.03251899765998565,0.530371894882176,0.15448320247624936,0.09302628838515968,0.25042747471209525,0.12424973753614753,0.5330506964821263,0.10929747162731501,0.3381123798082375,14.698778846754383,21.880051300441774,-0.18723189004626103,-0.3512459345460007,0.21166613516565452,1.936605961823147,-0.03086451633350268,-0.09128478629208335,0.49885412221169056,0.7138724486742628
