chunk,size,r_split,n_inner,n_outer,w_frac_inner,r_min,r_max,a1_in,a2a1_in,a3a2_in,alpha_in,a1_out,a2a1_out,a3a2_out,alpha_out,ang1,ang2,a2a1_full,a3a2_full,alpha_full,n_blocks_ok,se_a2a1_in,se_a2a1_out,se_a3a2_in,se_a3a2_out,se_alpha_in,se_alpha_out,se_d_a2a1,se_d_a3a2,se_d_alpha,se_ang1,se_ang2,d_a2a1,z_a2a1,d_a3a2,z_a3a2,d_alpha,z_alpha,z_ang1,z_ang2
r1600_c2000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,3.332023142125666,0.07465825793147358,0.5009308251116599,0.7563546783081527,15.415762242487125,0.038463588723689525,0.3614505041946809,0.49173316942890133,2.0215418575727258,11.770854656116388,0.04987726114251369,0.4969957375168684,0.6950988963815047,4,0.44832770839654074,0.38830664877591825,0.3945254682087026,0.2936104070787212,0.1273652081917239,0.12383816477320633,0.3931928414356379,0.43560410950910544,0.22151665971327,27.684522768025587,28.280658481697703,0.03619466920778406,0.09205322527141889,0.13948032091697898,0.3201997361185671,0.2646215088792514,1.194589649472758,0.07302065036524734,0.41621572085155273
r2000_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.547309186314403,0.32806502920339975,0.28632113201950143,0.4453568487673298,0.4963390475957755,0.838929097919237,0.24971339073417603,0.8317784881697734,80.56544341041082,79.93793244206427,0.5745677072171039,0.21211097564032613,0.43356074746130946,4,0.10313183327122671,0.1182220800841552,0.057395735098694056,0.05402488557207872,0.06762011065293594,0.39759476112703634,0.1930549874922472,0.08655345403827981,0.33353649641186106,55.80216016195237,57.06442223557593,-0.5108640687158372,-2.6462101567635115,0.0366077412853254,0.4229495135934722,-0.3864216394024436,-1.1585587890965863,1.4437692586915805,1.4008366213200385
r2000_c2800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.3149309899164578,0.4802646607010869,0.7011896628353617,0.2650571807081422,0.5027838384512182,0.7976723762522986,0.28998032285971637,0.11525117870983549,57.561114085307935,56.64231058516376,0.55095956263235,0.526908829257718,0.21223175712216705,4,0.11604375835558364,0.5406629710765891,0.06040454379988775,0.21453599710308544,0.012479616063951982,0.06699131497146381,0.5190036436851233,0.1843463425476354,0.06655487829497525,29.20451487564616,28.87809907933797,-0.31740771555121167,-0.6115712662390886,0.4112093399756453,2.2306346537327593,0.14980600199830674,2.250864336861341,1.9709662814261821,1.9614279468169995
r2000_c3200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.1073031471435046,0.21190006765159158,0.4388760047338096,0.4031609417763064,3.5026676335753444,0.18657484028768134,0.2536291076237472,0.4202190405486321,33.13652081660171,32.71466692239446,0.26262734944461325,0.3544762803436742,0.3972403470331065,4,0.2036501017419882,0.3433798163086401,0.1003525882281928,0.17375638922066178,0.06421133828212404,0.2738450098453687,0.15440542582673933,0.13281209933563384,0.24765934611144066,33.40094498560764,37.82635756814034,0.02532522736391024,0.16401772948269358,0.18524689711006243,1.3948043742755611,-0.01705809877232567,-0.06887726645555278,0.9920833326985249,0.8648643175188705
r2000_c3600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,160.54248971432898,0.0018990086753126279,0.32241977991472687,0.39815468011713084,10.58121831175265,0.0729294255555933,0.3077933501744846,0.5719280593495416,80.8171627784009,79.96362918895585,0.0045811232378248695,0.24881062468006343,0.37379405533830323,4,0.20742160261036013,0.4642429679042203,0.20592537601752364,0.26252967048298076,0.04656868643810808,0.3321547576026839,0.32965797301317357,0.2900045642237523,0.29842622935185414,50.282369289643185,47.36659740014387,-0.07103041688028067,-0.21546700730772922,0.014626429740242253,0.05043517083737091,-0.17377337923241076,-0.5822992825055144,1.6072664021233196,1.6881860546882554
r2000_c4000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.8936831394851515,0.27202188599798305,0.41281427011544436,0.31446209946389264,17.324003712505082,0.03561295398771793,0.2351806781223377,0.30910465410837196,45.20303671405673,44.304896510578374,0.6624791526560875,0.21472824522537948,0.2994044903905774,4,0.06334168058433762,0.3725033191184698,0.08617516839421464,0.1487394606127181,0.040859957735685966,0.06774052419511309,0.3676487160158457,0.09581917800098258,0.06348845123492149,29.17626005107133,26.37870355471244,0.2364089320102651,0.6430293965723407,0.17763359199310666,1.8538417433646228,0.005357445355520685,0.08438456524473935,1.5493088091116363,1.6795706589099408
r2400_c1200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.9715751563635575,0.2025269314663023,0.487254593712069,0.45990572986443035,0.598199875499396,0.4883369401902957,0.6518060053612715,0.9019016443958395,12.843490720807992,32.33215746867809,0.24043321665314574,0.5341701473666518,0.4664053434015932,4,0.20983364737736346,0.048584760562213156,0.05235262717945147,0.08218927830892124,0.07152510173536383,0.04628153569944291,0.2287388139668253,0.096766217826763,0.036897714752410854,4.490822089271488,6.392454822986075,-0.2858100087239934,-1.2495037626864907,-0.16455141164920256,-1.70050473548313,-0.4419959145314092,-11.978950932253323,2.8599420029332525,5.057862490074656
r2400_c1600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.975045381458318,0.3115650115456873,0.18363640471650908,0.4256493092804573,48.246576496733134,0.051600610416241845,0.08253407435781478,0.24104338694429445,8.85784424614915,8.865029353755695,0.24934455253189644,0.16757605750855933,0.3778863580499458,4,0.3887732253284051,0.4320531230424559,0.03620672886816308,0.44494702357831556,0.05211727266595514,0.2534978548115476,0.05937207473608517,0.4112785159805046,0.2351034533770838,12.265729925514878,16.74615796296424,0.2599644011294454,4.37856352982464,0.1011023303586943,0.24582448737362872,0.18460592233616285,0.7852114449381241,0.7221620156272375,0.5293769098178562
r2400_c2000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,4.861542362605746,0.06141392261169137,0.3418816225335935,0.5284021755667916,22.264664088690324,0.025965725804840727,0.37860436603075376,0.5507421711972458,2.542617600915721,4.784659109239417,0.020015264520791783,0.333520758539967,0.5020620189971131,4,0.3881057874384313,0.3638556164414321,0.24335492820018165,0.07070300442847094,0.0409057298453588,0.07172041729096001,0.35664700666019045,0.24673195628214212,0.11016473875048124,35.484216284239075,45.843814245024085,0.03544819680685064,0.09939294637239257,-0.03672274349716026,-0.14883659194582477,-0.02233999563045419,-0.20278717023106088,0.07165488961482484,0.10436869593063468
r2400_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.55654099239574,0.31097304654926466,0.6957281695254998,0.37122773474000104,1.099576788308705,0.45154497372846336,0.3724388202132558,0.35644611386435615,6.234032725978969,10.81233802906886,0.29690162983541274,0.5793439419703746,0.34760056841702813,4,0.084915149746232,0.6666145231289604,0.23172947387409587,0.14206956898364562,0.08343307764244322,0.04333178033618924,0.625541100213579,0.18707714006141105,0.10916331066661566,35.360954951562746,35.588934747662876,-0.1405719271791987,-0.22472052936442244,0.32328934931224396,1.7281071819150062,0.014781620875644885,0.1354083234136046,0.176297069310439,0.3038117916631069
