split,quantity,n,median_inner_minus_outer,lo68,hi68,wilcoxon_p,n_positive,median_inner,median_outer
equal_count,a2a1,28,-0.1488480245466267,-0.2060460325485654,-0.07442151766850336,0.009536407887935638,8,0.2971212805816662,0.43823533901168077
equal_count,a3a2,28,0.07662075690793725,0.0474064107807955,0.0929358382507013,0.0008751451969146729,20,0.4278419641281762,0.3156291699010994
equal_count,alpha,28,0.0875179316368917,-0.0308645163335026,0.2012399381558316,0.5369088649749756,16,0.6767200814205733,0.5233967873164873
equal_count,ang1,28,14.050586294467898,,,8.92939762804594e-12,15,,
equal_count,ang2,28,22.32758350362097,,,2.2060051361480587e-09,13,,
equal_dex,a2a1,29,0.0565540062520368,-0.0251576369490637,0.0657863026977725,0.8815100230276585,16,0.2686605410357884,0.2488775871830651
equal_dex,a3a2,29,0.1962331700917897,0.1566303352071029,0.2241522086855386,0.0004987679421901703,25,0.5245549472137947,0.3231334888502596
equal_dex,alpha,29,0.2259527213143741,0.1556934375583543,0.3538549945695319,0.0004079751670360565,22,0.6902066006426133,0.4466455058984054
equal_dex,ang1,29,7.290755277037997,,,6.042044943830345e-27,25,,
equal_dex,ang2,29,17.61861972552126,,,4.7439392139456383e-14,17,,
