chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r1600_c2000,1600,2000,3d,powerlaw,0.9347092251527144,nan,0.2864395202784714,0.1338929125196139,0.46743868440166914,0.644770389386442,0.36711306482354017,,54400.30429186562,,True,47.032112856877774,27938,0.4897407684010231,10.070350253872835,173.149571296732,-152.68265467179472,0.1,1.3954137818026953,0.14411862070818418,0.2105816108097708,0.11954629276463144,0.19343743264086244,0.11378370887117158,0.2044023070698103,,13.823022045070786,0.6698417146007096,4.472563543851782,10.837163645323523,11.614935694393415,13.823022045070786,,47.032112856877774,
r1600_c2000,1600,2000,2d,powerlaw,,nan,,,,0.6541754935898204,0.3792410659183603,,26642.69451546971,,True,,15220,,9.549452528330933,,,0.1,1.3230667227777269,,,,,0.1018371578595721,0.20001643735801253,,,,4.82405466394659,,,,,,
r1600_c2000,1600,2000,3d,weibull,0.9347088900235667,2.1920664887329013,0.2864402637795936,0.13389329931444688,0.4674388214412252,0.6447703931337504,0.36711341964309024,9.999999999999998,54400.32473045465,,True,47.03203888540629,27938,0.4897384659102435,10.07034049773198,173.14957854859463,-152.68272173803553,0.1,1.395414043936212,0.14399963242560343,0.21065253510778276,0.11897703056495568,0.19075681905156996,0.11118296786901168,0.2018811752855078,3.8481442899913088,13.818362462518936,0.6684762040057852,4.487954957417981,10.842182254308517,11.589704106728966,13.818362462518936,1.6422346699545967,47.03203888540629,3.6864429528818077
r1600_c2000,1600,2000,2d,weibull,,0.7971716379856971,,,,0.6541752750325932,0.3792407570510613,9.999999999999998,26642.707773865404,,True,,15220,,9.54942996197128,,,0.1,1.3230670519812906,,,,,0.09917582512558153,0.1977737742379806,4.1576154097309574,,,4.8252156070612475,,,,1.6082883964819106,,3.679198408889588
r1600_c2400,1600,2400,3d,powerlaw,0.8792500370080248,nan,0.4186115592611609,0.24893443031500712,0.5946668810444945,0.5619070367701761,0.48731622868965446,,37337.1004757275,,True,41.588991010068845,27938,0.3510579612445994,13.763112586799183,-176.94302060704882,16.985489115809578,0.1,1.156039404856598,0.08067060997072766,0.10656553351880829,0.05772327906455945,0.08871242574469113,0.005537615456447948,0.06504959442364924,,6.561711484714374,0.32848537198651506,7.048382058844723,266.0043031279095,7.559016648931235,6.561711484714374,,41.588991010068845,
r1600_c2400,1600,2400,2d,powerlaw,,nan,,,,0.5704413592663188,0.4987968474039713,,20104.395391319595,,True,,15220,,12.985349899307751,,,0.1,1.1493126378442529,,,,,0.01666234483702606,0.05344446952664306,,,,7.4763567929264845,,,,,,
r1600_c2400,1600,2400,3d,weibull,0.8792489664179456,1.0622707744570583,0.4186134077665199,0.24893567158344834,0.5946672203158176,0.5619072364371613,0.48731747172300866,9.999999999999998,37337.10898154725,,True,41.58881543203216,27938,0.3510541159764662,13.763087817310675,-176.9430163370217,16.985379324510312,0.1,1.156039536536109,0.08074657854106966,0.10670548528466767,0.05675288657835417,0.08603920911762986,0.03204915494126756,0.0632221576680541,6.749999996796254,6.57579724056887,0.3278321030751515,7.081103538636744,266.00302504488417,7.56699096625116,6.57579724056887,0.7938449786668428,41.58881543203216,2.5547003286064673
r1600_c2400,1600,2400,2d,weibull,,0.5670712322030739,,,,0.5704413778873512,0.4987983594609999,9.999999999999998,20104.39920486671,,True,,15220,,12.985250832729903,,,0.1,1.1493127468492141,,,,,0.009824303277577339,0.052746965115110726,6.657081723489791,,,7.48513723207616,,,,0.8427424410022368,,2.6342262053146426
r2000_c2400,2000,2400,3d,powerlaw,0.9797901879551325,nan,0.18898947369711538,0.12580568849939325,0.6656756381099624,0.5374448711600873,0.5730802990605873,,66294.61087981192,,True,66.29789234441925,27938,1.259111203253525,6.633888613391979,176.96111030990528,75.5212610395349,0.1,1.5404281855739284,0.013106703928377261,0.03826787338639469,0.04019342867557621,0.16120277350239987,0.076825560455116,0.11601743629112393,,1.5810271907377573,0.32198394112953344,5.988741538776573,0.49649028827374575,161.3720652644958,1.5810271907377573,,66.29789234441925,
r2000_c2400,2000,2400,2d,powerlaw,,nan,,,,0.5604406807350494,0.5861533450848897,,38591.03702264726,,True,,15220,,7.281223201181388,,,0.1,1.59234034288692,,,,,0.048274142222262444,0.11601754115522896,,,,6.160388052242117,,,,,,
r2000_c2400,2000,2400,3d,weibull,0.9788062960928476,0.48455611240867236,0.1894906423461219,0.12260332118651603,0.647015175359266,0.684100875498494,0.5765780800190813,1.0871693860047984,54376.5752411101,,True,66.34438427176686,27938,1.2280301066421027,7.5875907001044585,176.6222584673438,74.95258290118066,0.1,1.39510941350491,0.011043444005453628,0.036518429234024055,0.037739552132755774,0.13572357065754345,0.09183873468224356,0.11933573739976552,1.7801194544384376,1.6974266979755894,0.28443660147315625,5.903844124406247,0.30713295217417647,158.57198515002946,1.6974266979755894,0.5819343855371193,66.34438427176686,1.696122130988338
r2000_c2400,2000,2400,2d,weibull,,0.11875917481983955,,,,0.639741674996493,0.5577238163911102,2.3961206425502675,32131.95745345427,,True,,15220,,7.417259936524044,,,0.1,1.4529854501546084,,,,,0.07067022705338477,0.10552655546561175,0.8114625352532788,,,5.684046262321175,,,,0.13553439098959968,,1.2738494860222174
