chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r1600_c2000,1600,2000,3d,powerlaw,0.9347092251527144,nan,0.2864395202784714,0.1338929125196139,0.46743868440166914,0.644770389386442,0.36711306482354017,,54400.30429186562,,True,47.032112856877774,27938,0.4897407684010231,10.070350253872835,173.149571296732,-152.68265467179472,0.1,1.3954137818026953,0.08657232512572906,0.17934045879078056,0.112224260047339,0.1278952239723971,0.12121005001664492,0.1671745934781013,,14.76284858032139,0.5735540459290022,4.46253497982993,6.315891545453785,7.39032690468169,14.76284858032139,,47.032112856877774,
r1600_c2000,1600,2000,2d,powerlaw,,nan,,,,0.6541754935898204,0.3792410659183603,,26642.69451546971,,True,,15220,,9.549452528330933,,,0.1,1.3230667227777269,,,,,0.10349012548114193,0.19164957353380221,,,,4.7486554476778045,,,,,,
r1600_c2000,1600,2000,3d,weibull,0.9347088900235667,2.1920664887329013,0.2864402637795936,0.13389329931444688,0.4674388214412252,0.6447703931337504,0.36711341964309024,9.999999999999998,54400.32473045465,,True,47.03203888540629,27938,0.4897384659102435,10.07034049773198,173.14957854859463,-152.68272173803553,0.1,1.395414043936212,0.08657416685124977,0.17934397068803348,0.11222653360763576,0.1278954483071325,0.1212093694932854,0.16717584718927525,0.0,14.763084742145328,0.5735619251081346,4.462497422159735,6.316028135689594,7.3903280313986635,14.763084742145328,1.2247412174820458,47.03203888540629,3.6864429528818077
r1600_c2000,1600,2000,2d,weibull,,0.7971716379856971,,,,0.6541752750325932,0.3792407570510613,9.999999999999998,26642.707773865404,,True,,15220,,9.54942996197128,,,0.1,1.3230670519812906,,,,,0.0866961991044898,0.18960641838488038,7.999995226929319,,,4.735653356072145,,,,0.5535173332774385,,3.679198408889588
r1600_c2400,1600,2400,3d,powerlaw,0.8792500370080248,nan,0.4186115592611609,0.24893443031500712,0.5946668810444945,0.5619070367701761,0.48731622868965446,,37337.1004757275,,True,41.588991010068845,27938,0.3510579612445994,13.763112586799183,-176.94302060704882,16.985489115809578,0.1,1.156039404856598,0.057677418634243756,0.08595888220920966,0.05913320305393415,0.08357859274234503,0.07007385008269179,0.07661399266479467,,7.729305604119847,0.2552413418530281,8.738051539279937,316.71296382804655,11.319520617381054,7.729305604119847,,41.588991010068845,
r1600_c2400,1600,2400,2d,powerlaw,,nan,,,,0.5704413592663188,0.4987968474039713,,20104.395391319595,,True,,15220,,12.985349899307751,,,0.1,1.1493126378442529,,,,,0.06725619865012636,0.07291038905366412,,,,8.502367728410603,,,,,,
r1600_c2400,1600,2400,3d,weibull,0.8792489664179456,1.0622707744570583,0.4186134077665199,0.24893567158344834,0.5946672203158176,0.5619072364371613,0.48731747172300866,9.999999999999998,37337.10898154725,,True,41.58881543203216,27938,0.3510541159764662,13.763087817310675,-176.9430163370217,16.985379324510312,0.1,1.156039536536109,0.05759176756272801,0.08500564171562885,0.057309278626487756,0.08279622414302382,0.0685177722349739,0.0754863043091484,7.999999999989261,7.7336422427037546,0.2561718218017602,8.754092423304687,316.7082552777612,11.27777774210018,7.7336422427037546,0.6942803779543913,41.58881543203216,2.5547003286064673
r1600_c2400,1600,2400,2d,weibull,,0.5670712322030739,,,,0.5704413778873512,0.4987983594609999,9.999999999999998,20104.39920486671,,True,,15220,,12.985250832729903,,,0.1,1.1493127468492141,,,,,0.06281177807479894,0.07220239794837491,7.999999937187339,,,8.506579887787355,,,,0.5931398909713111,,2.6342262053146426
r2000_c2400,2000,2400,3d,powerlaw,0.9797901879551325,nan,0.18898947369711538,0.12580568849939325,0.6656756381099624,0.5374448711600873,0.5730802990605873,,66294.61087981192,,True,66.29789234441925,27938,1.259111203253525,6.633888613391979,176.96111030990528,75.5212610395349,0.1,1.5404281855739284,0.02831159465054112,0.10226065390063685,0.06912413061616074,0.1301430345755353,0.053671721090831515,0.10895893658579395,,1.6949844218932135,0.5364542604362064,8.748884111541072,1.4621235796858412,19.149096791618508,1.6949844218932135,,66.29789234441925,
r2000_c2400,2000,2400,2d,powerlaw,,nan,,,,0.5604406807350494,0.5861533450848897,,38591.03702264726,,True,,15220,,7.281223201181388,,,0.1,1.59234034288692,,,,,0.03573620623547915,0.08868042120675258,,,,7.333073213840582,,,,,,
