chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,theta
r1200_c1200,1200,1200,3d,powerlaw,0.6449729027588051,nan,0.6538809472542578,0.3353495070863861,0.512860190367326,0.15813324611315716,0.3736666676808284,308119.0381628578,,True,64.86820004063163,27938,-0.2429220224190054,2.8316364828311595,-176.97025319603426,-0.5445723055634475,0.1,3.3209444430466806,0.2362491887089104,0.17319273642190874,0.1426852578946877,0.1857726496447134,0.03856327987591299,0.1377578663883976,16.96543964243622,0.4456586191960017,164.9704124745287,334.246464281185,167.45759484688355,16.96543964243622,64.86820004063163
r1200_c1200,1200,1200,2d,powerlaw,,nan,,,,0.16881357615316578,0.3755054948243206,286542.1040466266,,True,,15220,,6.387131062544935,,,0.1,4.338972489339784,,,,,0.04463344924710141,0.11345580619433838,,,8.480928382886937,,,,
r1200_c1200,1200,1200,3d,weibull,0.6449299472408662,0.791701895436889,0.6539130358730423,0.3353583857049914,0.5128486011251525,0.15813372048426427,0.3736690581344622,308119.03890106245,,True,64.86867098124357,27938,-0.24299369284377303,2.831103895671716,-176.97077255073586,-0.5446083057532635,0.1,3.3209444470249103,0.2350908950177058,0.17096961007488218,0.13962188187550464,0.1833794366305275,0.03796416742866068,0.1340803268195831,16.828310614277907,0.43997791442343076,164.9264628535068,334.2758935814188,167.3193005653748,16.828310614277907,64.86867098124357
r1200_c1200,1200,1200,2d,weibull,,0.8720799693353164,,,,0.168813055173739,0.3755002046853816,286542.10409362806,,True,,15220,,6.386980494810039,,,0.1,4.338972489695644,,,,,0.04451183902088481,0.11187910143672114,,,8.532968588548982,,,,
r1200_c1600,1200,1600,3d,powerlaw,0.9094954940998522,nan,0.3808037279238458,0.24480808550491845,0.6428720822656332,0.3119142966367065,0.4355463776588121,56307.84613808343,,True,52.880954592686706,27938,0.5236616729276751,175.3743906634893,177.56856608016045,174.97434254453708,0.1,1.4196680257179428,0.15955475629891339,0.23504994473267754,0.14234926507555815,0.1578305088463642,0.047810272712735434,0.11082146332698724,4.518978435139005,0.6609273447299115,5.465514324795613,2.928867488549216,9.640446382424415,4.518978435139005,52.880954592686706
r1200_c1600,1200,1600,2d,powerlaw,,nan,,,,0.3127264081295617,0.47499187565519974,40514.980655484826,,True,,15220,,174.71893398985992,,,0.1,1.6315503912146234,,,,,0.0534299763067654,0.11107678611082489,,,5.394493591955811,,,,
r1200_c1600,1200,1600,3d,weibull,0.9090179773602437,0.4004406239132098,0.37777800902959713,0.23856275356397422,0.6314892552289457,0.3281675853811082,0.42988042377793356,55718.97043350459,,True,52.55807692895257,27938,0.513774181559775,175.03309946916752,177.71906491751605,174.00322658398582,0.1,1.4122249663151176,0.16006855653674534,0.23661996320877096,0.13491775606633463,0.12485123668968535,0.04260661750778829,0.09541709057821077,4.7766862660436695,0.6577001280946083,5.443699535491866,2.8704548356721684,9.572174331306744,4.7766862660436695,52.55807692895257
r1200_c1600,1200,1600,2d,weibull,,0.29208938561138087,,,,0.32503358561283774,0.47088085332209806,40374.32638118152,,True,,15220,,174.53573398709162,,,0.1,1.628715834068657,,,,,0.051301103932572645,0.09932672113088264,,,5.295822263217096,,,,
r1200_c2000,1200,2000,3d,powerlaw,0.8568736110100318,nan,0.43269703289110917,0.22686241541844004,0.5242985233862959,0.3376160983484412,0.4604582113527337,117703.34287554031,,True,59.607457732432714,27938,0.19202343321094428,24.57308788708875,-177.51466714694797,-131.09100608967702,0.1,2.052564163723066,0.4976605429673098,0.442775144582872,0.23362473120397542,0.11935307253021243,0.05556335348750898,0.2698225847131894,12.39888600452907,0.8075802266017822,25.859382503707863,353.11537897970584,157.0344934753377,68.46868456181036,59.607457732432714
r1200_c2000,1200,2000,2d,powerlaw,,nan,,,,0.29391315180607547,0.44380917377084855,82272.44470777568,,True,,15220,,22.308699949356775,,,0.1,2.3249834994084146,,,,,0.05225206535265478,0.28492628557439686,,,22.959897350106438,,,,
r1200_c2000,1200,2000,3d,weibull,0.856867682593945,1.1895297920829486,0.4327106103520981,0.22687817366478572,0.5243184896256049,0.3376161767634407,0.46047518451614244,117703.35964699913,,True,59.60646011930221,27938,0.19203013611474673,24.573086857491067,-177.5144250055521,-131.0918698631294,0.1,2.0525643099572055,0.4976860159821059,0.44278996778972424,0.23365052900453728,0.11939013865986393,0.05556286067228024,0.26982922394603687,12.398453389591696,0.8075730831990714,25.859984553487394,353.11583822203795,157.03346509172988,68.46971338083235,59.60646011930221
r1200_c2000,1200,2000,2d,weibull,,0.8200451397963787,,,,0.2939131221316563,0.443812641958828,82272.44521972607,,True,,15220,,22.308675604636946,,,0.1,2.3249835066421625,,,,,0.05225200174317806,0.2849323833744444,,,22.961008220779195,,,,
r1200_c2400,1200,2400,3d,powerlaw,0.8902083174397096,nan,0.4081432921715773,0.2525732180903867,0.6188346664881821,0.18077733166883717,0.32935277884764425,51526.2197309193,,True,68.66778058250819,27938,0.41621982020170734,173.19819179515895,175.6284697211211,170.3290678239168,0.1,1.3580522646691056,0.2765146486111258,0.33335441248495495,0.22106916165801477,0.12526849785917785,0.05370354534947255,0.44396212681937325,10.24013329280891,0.6320862392848685,2.409510170640841,2.031681963214889,72.72351657982445,10.24013329280891,68.66778058250819
r1200_c2400,1200,2400,2d,powerlaw,,nan,,,,0.16412147194797072,0.33853375890154236,29784.56013515449,,True,,15220,,173.55584819851256,,,0.1,1.3989051504366428,,,,,0.061239084745129915,0.3914220748425267,,,2.372394506167372,,,,
r1200_c2400,1200,2400,3d,weibull,0.8902054354511911,1.0927312174466415,0.4081471584912903,0.2525742363647129,0.6188312992263615,0.18077725858573862,0.3293528639529366,51526.22076149346,,True,68.66767626319228,27938,0.41620490599017645,173.19828218127964,175.6284677558037,170.32954931390051,0.1,1.358052278250284,0.2947381814403287,0.341379620903739,0.21626418639156578,0.12569421801777728,0.0526108557019881,0.4456471693651886,11.065186621420123,0.6669220814075746,2.2234550196446845,2.307252968401513,73.35476423523123,11.065186621420123,68.66767626319228
r1200_c2400,1200,2400,2d,weibull,,0.9178716302720685,,,,0.1641215829324801,0.33854104779319144,29784.560767464995,,True,,15220,,173.55637167967086,,,0.1,1.3989051652856521,,,,,0.06035961121922212,0.38514481405486517,,,2.058108736867485,,,,
