chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r1200_c1200,1200,1200,3d,powerlaw,0.6202647466031946,nan,0.6688442574978207,0.3301723068495194,0.49364602169825045,0.14569311828784096,0.37973019926644097,,381696.56195566134,,True,59.26838669554515,27938,-0.3037325289966324,3.3015121233526963,-176.41263636870028,-0.6329582992137274,0.1,3.6962511067431336,0.21979550355688407,0.16274643135310166,0.1490760981076442,0.18547246355475325,0.035392329297296195,0.14173438340903172,,19.820788564469762,0.4227435506289074,165.048288670711,6.536985578198458,11.650573666857511,19.820788564469762,,59.26838669554515,
r1200_c1200,1200,1200,2d,powerlaw,,nan,,,,0.15853014140442007,0.3782225045736394,,345902.24574984994,,True,,15220,,6.941234824942447,,,0.1,4.767265776063067,,,,,0.042467344785127134,0.11630855108862648,,,,8.546729709073759,,,,,,
r1200_c1200,1200,1200,3d,weibull,0.6201102910213696,0.9557482432084525,0.6689589288199085,0.3302108647487569,0.4936190407552711,0.14569383081536993,0.3797314312408422,9.99999883554797,381696.56220982573,,True,59.27371612119865,27938,-0.30395861922395484,3.301658134242475,-176.41166706998982,-0.6348575535650033,0.1,3.6962511079737648,0.21947684613134433,0.16166600566060568,0.14671702981746307,0.18340608859577034,0.03497723749128054,0.13852616662346212,5.329067862211815,19.637340438582456,0.4192009359460087,165.0676167934698,6.500818416402143,11.767181698676541,19.637340438582456,0.00027434484143877406,59.27371612119865,0.0007507118985744017
r1200_c1200,1200,1200,2d,weibull,,1.630684176655803,,,,0.1585297275642855,0.37821798627570613,9.999993671810998,345902.245750178,,True,,15220,,6.941057712136938,,,0.1,4.7672657760653285,,,,,0.04246627359871264,0.11638097982203113,5.971809021203559,,,8.549648004689235,,,,0.0002147127746412401,,0.0008752982880595177
r1200_c1600,1200,1600,3d,powerlaw,0.9355594798378382,nan,0.34579857187742313,0.24276297245483,0.7020357867206096,0.3307059555096409,0.4630691084281319,,86451.32818655914,,True,53.64646392808867,27938,0.7081279376294196,174.8038834147267,177.93526525417764,171.78694583864538,0.1,1.7590904807432703,0.1282586581220973,0.22751354517286007,0.14820447106267481,0.1587905405475262,0.04481348782421279,0.11248005678783801,,6.033143493811377,0.6880782080383069,6.7562160188069225,335.472248414093,11.598154652134417,6.033143493811377,,53.64646392808867,
r1200_c1600,1200,1600,2d,powerlaw,,nan,,,,0.32909497467941407,0.4977404151688135,,61018.23500963501,,True,,15220,,173.7117745157442,,,0.1,2.00226932702024,,,,,0.0499141468469525,0.1163179070948385,,,,6.578838685430427,,,,,,
r1200_c1600,1200,1600,3d,weibull,0.9352218645913054,0.27203539521619063,0.3320941223513672,0.2205912682879988,0.6642432173328424,0.39772542063019584,0.44730261560717466,1.8772932791360901,81585.92696574873,,True,52.556613393079274,27938,0.6932299437761298,173.3904045842161,178.41894005283672,168.0895829701835,0.1,1.7088737145813395,0.11825311139874183,0.21827772822592156,0.1361442401778355,0.10189133428895983,0.10083867557881598,0.08900022789607691,1.9256607866695081,6.653900726299588,0.6475258806687485,7.415049335983962,335.91300675768366,14.447587060263134,6.653900726299588,0.0003218100927481506,52.556613393079274,0.0011788789193921774
r1200_c1600,1200,1600,2d,weibull,,0.132654545165436,,,,0.4144989222072832,0.4829283568984285,1.1522810849737521,58798.72472420009,,True,,15220,,172.80488730381964,,,0.1,1.9655161978626512,,,,,0.1285024466053776,0.09867331365069308,1.2999196304445917,,,6.725969302335705,,,,0.0007083538887624731,,0.0012621222754084537
r1200_c2000,1200,2000,3d,powerlaw,0.8888645891313299,nan,0.38558873891090545,0.20551721934166553,0.5329959062656977,0.3941626329790091,0.43608192841666904,,230549.7889622047,,True,59.246540057715315,27938,0.3237423853434729,23.519793798257275,-176.46479751306907,-134.60283217427872,0.1,2.8726631805860205,0.5656053754575041,0.5076394067504855,0.266274089424673,0.12873373190286402,0.0588789882469674,0.2578104961745579,,11.399126324504993,0.9544665684899908,21.14458659232079,148.6541326120837,163.2931922484474,68.66297018064301,,59.246540057715315,
r1200_c2000,1200,2000,2d,powerlaw,,nan,,,,0.3433744067126456,0.4199917536241477,,194243.90871635108,,True,,15220,,21.477297086124395,,,0.1,3.5724518014397972,,,,,0.054739688155741144,0.26776582712877534,,,,18.68187012594175,,,,,,
r1200_c2000,1200,2000,3d,weibull,0.8888582096080179,1.85748636844711,0.3855982500850552,0.2055205717708198,0.5329914534764774,0.3941623859880111,0.4360858384308148,9.999999999904288,230549.7893635734,,True,59.24622432049803,27938,0.32370936471903167,23.51974374317285,-176.4654895386923,-134.60236931764715,0.1,2.8726631830865585,0.5655659188902311,0.507616911883967,0.2662624837602418,0.12874768136839218,0.05887927242126427,0.2578110938863265,1.2959599403024642,11.400368357342918,0.9544526840754572,21.14477497628286,148.64742168673956,163.2921901432734,68.66500775994723,0.0007942193544168557,59.24622432049803,0.0024069107321075265
r1200_c2000,1200,2000,2d,weibull,,1.298328460528298,,,,0.34337442084954334,0.41999241606558846,9.998440260539095,194243.9087210453,,True,,15220,,21.477282867534562,,,0.1,3.5724518014829645,,,,,0.04193911714264003,0.26660356688597936,8.403679281756547,,,18.75013301358938,,,,0.001011139007515571,,0.0022176553342509605
r1200_c2400,1200,2400,3d,powerlaw,0.8366950253608452,nan,0.4499344083333543,0.2162741473495826,0.4806792797881466,0.2054540846693926,0.29619574601547194,,102058.29775101205,,True,62.46367074532195,27938,0.06609845684199467,174.22885876783235,177.3378629479012,172.03150897519575,0.1,1.911289630910352,0.3925570361895,0.3889456695421473,0.27197922240218103,0.2074555415264609,0.06636660010824023,0.4734194759298569,,10.956397785399693,0.6102261731838663,6.469420433595745,4.101433570063545,71.11208542498044,10.956397785399693,,62.46367074532195,
r1200_c2400,1200,2400,2d,powerlaw,,nan,,,,0.19361055554698295,0.3123656005222484,,73033.19395626293,,True,,15220,,174.64187347303644,,,0.1,2.1905482359443442,,,,,0.08254822583919484,0.40869113579002103,,,,5.873619491913925,,,,,,
r1200_c2400,1200,2400,3d,weibull,0.836693439023048,1.8019291514440896,0.44993478911499557,0.2162709159062368,0.48067169096133544,0.20545342219756038,0.29619308476961553,9.99969783100653,102058.29772896197,,True,62.46332529577887,27938,0.06608182269932555,174.22886748093583,177.33812174524468,172.03102404257206,0.1,1.9112896307038814,0.39256430956691424,0.3889488587828384,0.27198118156161627,0.2074618039917035,0.06636623783840379,0.4734187625970389,2.486776714857637,10.956644806715229,0.6102389630607565,6.46922139059326,4.101136463360442,71.11127042196914,10.956644806715229,0.000282634735291447,62.46332529577887,0.0008205785300258762
r1200_c2400,1200,2400,2d,weibull,,1.159201649842064,,,,0.19361021705676526,0.3123696287682836,9.999996513000116,73033.19411019457,,True,,15220,,174.64233287545244,,,0.1,2.190548238252847,,,,,0.080141926972582,0.3991407179351577,5.776616290350016,,,5.2994936532713615,,,,0.00035842267324493886,,0.0007799901887910089
r1200_c2800,1200,2800,3d,powerlaw,0.8952308665552783,nan,0.34276144964945066,0.11918249742403285,0.34771266589613065,0.373913687035799,0.2260141560932821,,105973.72609003694,,True,59.19272294394988,27938,0.014341742872226781,10.455020547099057,178.98745892530667,23.580786939108762,0.1,1.9476075336767258,0.532047657646421,0.5620290982580877,0.3084092311315912,0.1834007138977622,0.15174284900458507,0.2774912337511795,,19.48084755443849,0.9134694589282806,5.033158852844031,335.6191962313367,11.298521271040654,19.48084755443849,,59.19272294394988,
r1200_c2800,1200,2800,2d,powerlaw,,nan,,,,0.3615078218401881,0.24710900727400126,,72942.36285492865,,True,,15220,,10.281145918773339,,,0.1,2.189185623952166,,,,,0.14282818473383663,0.2530339922926391,,,,3.812938496789822,,,,,,
r1200_c2800,1200,2800,3d,weibull,0.8780808621215047,0.5014325232678442,0.3687636014339232,0.12657283999372687,0.34323571931056424,0.39420794787941815,0.22780558634947426,9.999999999999051,101706.06231212181,,True,58.73891941166743,27938,-0.07173835277494289,10.401332914679324,179.0034058386604,23.050522915543105,0.1,1.9079885479090355,0.5281471388757654,0.5368874082160966,0.2918196288738685,0.17530148908043605,0.16254838250713366,0.2617928966616763,1.5390122745428914,19.5474267317809,0.8400415152793156,4.852160541867578,335.57841185712164,11.297585999460207,19.5474267317809,0.000459949021822761,58.73891941166743,0.001057196492269317
r1200_c2800,1200,2800,2d,weibull,,0.26577052222553504,,,,0.38189890000346327,0.2505728555643333,9.999999999999998,70466.85966581816,,True,,15220,,10.300882773383572,,,0.1,2.151716908606793,,,,,0.1523627961701422,0.23496365044391254,1.1359114945675661,,,3.594213374763781,,,,0.00043109670654426364,,0.0010159594981585462
r1200_c3200,1200,3200,3d,powerlaw,0.9584905081747414,nan,0.36109915468401504,0.30451992008667145,0.8433138547586629,0.18477993657008998,0.47084005158575004,,156457.73755018343,,True,71.95042723143925,27938,0.84818660832899,1.6435549354907033,178.15922359547847,62.587565486107174,0.1,2.3664692544831505,0.12143752235481362,0.18224599479630849,0.15077332282599978,0.33471369333627354,0.07577218753734338,0.26800261366989175,,4.16561721101256,0.7084099760196113,224.59066535109687,2.709308893109086,53.31662834700977,4.16561721101256,,71.95042723143925,
r1200_c3200,1200,3200,2d,powerlaw,,nan,,,,0.15772808471425045,0.44335679283616986,,125714.57320189339,,True,,15220,,0.49098732538929746,,,0.1,2.87399154686045,,,,,0.06165352314687389,0.23600226620290654,,,,318.26127951731024,,,,,,
r1200_c3200,1200,3200,3d,weibull,0.9584861945288784,1.2351401070056178,0.3611025427068061,0.30451740739172917,0.8432989840201134,0.1847802792655483,0.4708411982895559,9.999999999993678,156457.7376593097,,True,71.94986749019381,27938,0.8481595919958096,1.643468439182667,178.15836360736543,62.58349767039995,0.1,2.3664692553084343,0.1214313748372632,0.18224878752012488,0.15078130436002846,0.33468768348673233,0.0757723293254999,0.2680038438733569,7.576146998900373e-07,4.166006906585303,0.7083645514064082,224.59075054255425,2.709460955551493,53.319103295845665,4.166006906585303,0.00018063447845859294,71.94986749019381,0.0007097433418826788
r1200_c3200,1200,3200,2d,weibull,,1.2601836109280191,,,,0.15772816824026498,0.44335795882049023,9.996508880455107,125714.57320234994,,True,,15220,,0.49094175953330293,,,0.1,2.8739915468656685,,,,,0.06169927186344424,0.23607595245362825,0.09434146148470361,,,318.26582835437705,,,,0.0002464781675305377,,0.0006869266235189887
