chunk,profile,ptp,curv,rms,beta
r2800_c2400,weibull,0.011483500253045092,0.12571202710007112,0.056006300847338535,1.0
r2800_c2400,powerlaw,0.026575647961281243,-0.13916362292672066,0.057028017840868334,
r3200_c2400,weibull,0.11471152081092945,0.33168162747049884,0.08016004339554217,9.999999999999998
r3200_c2400,powerlaw,0.114743370637026,0.3317503880681874,0.08015990557403622,
r2800_c2000,weibull,0.068315863749219,0.5106135016694555,0.11615511069431475,9.999999694898134
r2800_c2000,powerlaw,0.06327592425881215,-0.3925823777372764,0.11647498280486045,
r2800_c2800,weibull,0.018802729185108308,0.10987647928415147,0.03978627375880869,1.0000000000006337
r2800_c2800,powerlaw,0.015927277475223933,-0.040967621632426926,0.040663536168652405,
r1600_c2000,weibull,0.056806219037147804,0.28480716278366763,0.030301632312895684,9.999999999999998
r1600_c2000,powerlaw,0.056805912415189536,0.2848056455049027,0.03030160146822698,
r2800_c1200,weibull,0.021699790346399933,-0.0321574108290417,0.07532372130979968,1.2251746521949525
r2800_c1200,powerlaw,0.09544480658753957,-0.3375626853100577,0.08024719879959841,
r2800_c800,weibull,0.03215287272984023,0.21234115062568842,0.08856361143498626,1.0000000000000002
r2800_c800,powerlaw,0.019355911364075357,0.025102838489063656,0.08924273699590998,
r2800_c1600,weibull,0.023659069486090645,-0.049709388178232755,0.08143447249919375,1.3775488240586646
r2800_c1600,powerlaw,0.07948223804337953,-0.34676892257550374,0.08492051443033517,
r3200_c2000,weibull,0.09752317983636255,0.3531029857868742,0.06526088292686022,9.999999999999998
r3200_c2000,powerlaw,0.0975231188532455,0.353104973830951,0.06526077710175887,
r2400_c3200,weibull,0.01652851676445216,-0.003302348437459256,0.048188090329928567,2.2293650015158413
r2400_c3200,powerlaw,0.06733247264687049,-0.3309000974081856,0.053293152585774974,
r2400_c2000,weibull,0.014893029426748305,-0.0038806169498989923,0.04796980793457386,1.0000000006356422
r2400_c2000,powerlaw,0.015006578553870525,-0.06971762193778061,0.048192818008565765,
r2400_c1200,weibull,0.018405367898541025,-0.03843960506383718,0.05556884584366281,1.1022887048640593
r2400_c1200,powerlaw,0.029917902560359977,-0.15099657827231827,0.05625661694296256,
r2400_c1600,weibull,0.03558741221831216,0.025904718614764396,0.03623647387131964,9.999999999999998
r2400_c1600,powerlaw,0.035587061662466786,0.025903579069360395,0.03623642221434442,
r2000_c3200,weibull,0.03242706672363407,0.06059206531793761,0.05104696827084043,9.999999999999998
r2000_c3200,powerlaw,0.023600866513991695,-0.043782625765696366,0.05043561875911822,
r2000_c2800,weibull,0.024366183782927306,-0.052753534131226416,0.05265164841040709,1.3780821308919997
r2000_c2800,powerlaw,0.10273693567417692,-0.6550596633581957,0.06268857605254279,
r2400_c800,weibull,0.06314068669247366,-0.24201750704307814,0.07404853660688436,1.4866001517820182
r2400_c800,powerlaw,0.0814552251051989,-0.39010301123843555,0.0756010690794214,
r2000_c3600,weibull,0.06772957036567744,0.06888371515515669,0.07000519543994703,9.999999999999812
r2000_c3600,powerlaw,0.07514668541653062,-0.12765844277120625,0.07180691013055115,
r3200_c2800,weibull,0.11101499720348368,0.36298053607103686,0.055001162806992895,9.999999999999998
r3200_c2800,powerlaw,0.11101539906740272,0.3629837776567381,0.05500100212670156,
r2400_c2800,weibull,0.02775838756345464,0.14148350774675653,0.07515649139335394,1.048446675997578
r2400_c2800,powerlaw,0.04024201510431608,-0.2414362799387335,0.07939446121562739,
r2400_c4400,weibull,0.041609743873640526,-0.1796917409492261,0.06162599920355289,1.0000000000006786
r2400_c4400,powerlaw,0.05073567432267173,-0.20294010908968194,0.061843936676696874,
r2800_c3200,weibull,0.012942331473057858,0.022589486723192203,0.0427709927203094,1.0992014069866913
r2800_c3200,powerlaw,0.0771745639457166,-0.32264313049945353,0.0498939603753932,
r2400_c3600,weibull,0.03405325932643863,0.0034094100054704673,0.05444828416679886,1.3029634892828048
r2400_c3600,powerlaw,0.0661013021862519,-0.2731058477253705,0.06172343912651259,
r2400_c2400,weibull,0.007332704612829116,0.017638960337414647,0.041375494434975076,1.0000000000004956
r2400_c2400,powerlaw,0.021553590135164474,-0.10504147217215326,0.0421787751978016,
r3200_c800,weibull,0.09022827753548958,0.4714798448803925,0.08077290464722414,9.999999999733616
r3200_c800,powerlaw,0.06694995578515327,0.3733004062966753,0.08055301736826084,
r1600_c2400,weibull,0.01323509980221993,0.0944766254697527,0.025516409479197925,9.999999999999998
r1600_c2400,powerlaw,0.013234212223726088,0.09447340149259294,0.025516401088415505,
r2800_c3600,weibull,0.004699203074538021,-0.015362980526226064,0.031996827045329725,1.0000000000000009
r2800_c3600,powerlaw,0.04446593332384034,-0.3020511976704341,0.03544932755380111,
r2800_c400,weibull,0.018453362575531734,-0.037379849243120135,0.08659631855965509,2.394929326569974
r2800_c400,powerlaw,0.05347014480579498,-0.30121288363127213,0.08916745568764835,
r2400_c4000,weibull,0.08198104798793793,-0.0008218823071471576,0.07364296839766299,9.999999974540879
r2400_c4000,powerlaw,0.11779642743739277,-0.3976710245359429,0.07156897438687157,
r2000_c2400,weibull,0.016902058139372567,-0.0821896488036369,0.032790592123739554,1.0871693860047984
r2000_c2400,powerlaw,0.04780367023238327,-0.2960496723433447,0.03571241011606866,
